xy,address,ward,scientific_name,common_name,disease,pests,condition,fam_name,genus_name
POINT (-77.012599488399999 38.905700589200002),100 BLOCK  M ST NW,6,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-77.027671599100003 38.904245406599998),1111 MASSACHUSETTS AVE NW,2,Tilia tomentosa,Silver linden,,,Good,Tiliaceae,Tilia
POINT (-76.927239136799997 38.906762752600002),1210 EASTERN AVE NE,7,Ulmus carpinifolia,Smooth-leaf Elm,,,Good,Ulmaceae,Ulmus
POINT (-77.016116221299995 38.906693056),1235 4TH ST NW,6,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-77.045897956199994 38.899633891),2021 H ST NW,2,Ulmus species,Elm,,,Good,Ulmaceae,Ulmus
POINT (-76.995517561200003 38.901275443099998),OPP 714 I ST NE,6,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.047937436400005 38.899651441899998),2121 H ST NW,2,Ulmus americana 'Jefferson',Jefferson Elm,,,Good,Ulmaceae,Ulmus
POINT (-77.022503779600001 38.898545754300002),775 G ST NW,2,Ginkgo biloba (male),Ginkgo (male),,,Good,Ginkgoaceae,Ginkgo
POINT (-77.0450605403 38.8995349574),2000 H ST NW,2,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.000504108300007 38.898366394200004),629 4TH ST NE,6,Acer saccharum,Sugar maple,,,Fair,Aceraceae,Acer
POINT (-76.948012753300006 38.892926582500003),3900 BLK DIX ST NE,7,,,,,,Aceraceae,Acer
POINT (-77.0339830761 38.961996861),1400 BLK MILITARY RD NW,4,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-77.029896120299995 38.963847378300002),6100 BLK 13TH ST NW,4,Acer saccharum,Sugar maple,,,Poor,Aceraceae,Acer
POINT (-76.996890024300001 38.958816734199999),636 NICHOLSON ST NE,4,Nyssa sylvatica,Tupelo,,,Good,Nyssaceae,Nyssa
POINT (-77.066062351100001 38.950683955499997),opp 3219  CHESAPEAKE ST NW,3,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-77.064809611599998 38.9479510647),3200 ALBEMARLE ST NW,3,Syringa reticulata,Lilac,,,Good,Oleaceae,Syringa
POINT (-77.0671636597 38.949640618399997),3508 BRANDYWINE ST NW,3,Platanus x acerifolia 'Bloodgood',Bloodgood london plane tree,,,Good,Platanaceae,Platanus
POINT (-76.996330917400002 38.948170319500001),717 DECATUR ST NE,5,Acer species,Maple,,,Good,Aceraceae,Acer
POINT (-77.062353742 38.971034381599999),6130 31ST ST NW,4,,,,,,,
POINT (-77.063478267199997 38.950380129300001),3100 GATES RD NW,3,Cercis canadensis,Eastern redbud,,,Excellent,Fabaceae,Cercis
POINT (-77.038024920799998 38.948219712899999),1626 DECATUR ST NW,4,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.98523307799999 38.910369673),OPP 1111 MOUNT OLIVET RD NE,5,,,,,,,
POINT (-77.068527096 38.949639264200002),3548 BRANDYWINE ST NW,3,Platanus x acerifolia 'Bloodgood',Bloodgood london plane tree,,,Good,Platanaceae,Platanus
POINT (-76.960255924699993 38.857792232199998),2617 33RD ST SE,7,Cladrastis lutea,Yellowwood,,,Excellent,Fabaceae,Cladrastis
POINT (-76.993545424100006 38.949615173799998),800 blk DELAFIELD ST NE,5,Prunus virginiana,Chokecherry,,,Good,Rosaceae,Prunus
POINT (-76.995565349 38.940671953200003),700 blk TAYLOR ST NE,5,Pistacia chinensis,Chinese pistachio,,,Good,Anacardiaceae,Pistacia
POINT (-76.989559997699999 38.948332449799999),4828 SARGENT RD NE,5,Prunus Okame,Okame cherry,,,Excellent,Rosaceae,Prunus
POINT (-76.988383007199999 38.939368679300003),opp 4023 13TH ST NE,5,Platanus x acerifolia,London plane tree,,,Fair,Platanaceae,Platanus
POINT (-77.029625948200007 38.938563156599997),3831 13TH ST NW,4,Acer platanoides,Norway maple,,,Poor,Aceraceae,Acer
POINT (-76.994726655700006 38.939506189),opp 711 RANDOLPH ST NE,5,Acer rubrum,Red maple,,,Poor,Aceraceae,Acer
POINT (-76.987306158300001 38.9396090929),1329 SHEPHERD ST NE,5,Nyssa sylvatica,Tupelo,,,Excellent,Nyssaceae,Nyssa
POINT (-76.989330492600004 38.938380869299998),1222 RANDOLPH ST NE,5,Magnolia virginiana,Sweetbay magnolia,,,Good,Magnoliaceae,Magnolia
POINT (-76.974346937500002 38.871752193299997),OPP 2213 MINNESOTA AVE SE,8,Prunus virginiana,Chokecherry,,Scale,Poor,Rosaceae,Prunus
POINT (-77.023942782600002 38.938756307399998),819 RANDOLPH ST NW,4,Acer campestre,Hedge maple,,,Good,Aceraceae,Acer
POINT (-76.989873432400003 38.937301933299999),1222 QUINCY ST NE,5,Cladrastis lutea,Yellowwood,,,Good,Fabaceae,Cladrastis
POINT (-77.032403994600003 38.930056066399999),3225 14TH ST NW,1,Magnolia Species,Magnolia,,,Excellent,Magnoliaceae,Magnolia
POINT (-76.966112558199995 38.935039895499997),2913 OTIS ST NE,5,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.061170088300003 38.970480858899997),6120 30TH ST NW,4,,,,,,,
POINT (-77.068697032599999 38.937437998599997),3600 35TH ST NW,3,Quercus lyrata,Overcup oak,,,Excellent,Fagaceae,Quercus
POINT (-76.936530678699995 38.901031825099999),OPP 824 46TH ST NE,7,Parrotia persica,Persian Parrotia,,,Good,Hamamelidaceae,Parrotia
POINT (-77.072613106800006 38.9328297319),3222 WISCONSIN AVE NW,3,Quercus rubra,Red oak,,,Excellent,Fagaceae,Quercus
POINT (-76.961508033100003 38.931840489099997),3200 BLK CHESTNUT ST NE,5,Ulmus pumila,Siberian elm,,,Good,Ulmaceae,Ulmus
POINT (-76.936649515599996 38.900929740199999),822 46TH ST NE,7,Nyssa sylvatica,Tupelo,,,Dead,Nyssaceae,
POINT (-76.987243189500006 38.9316985114),1337 LAWRENCE ST NE,5,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-76.966258713800002 38.930088747100001),3107 CENTRAL AVE NE,5,Ginkgo biloba,Ginkgo,,,Excellent,Ginkgoaceae,Ginkgo
POINT (-76.975127732100006 38.931194198100002),2112 KEARNY ST NE,5,Cercis canadensis,Eastern redbud,,,Good,Fabaceae,Cercis
POINT (-77.032334348899994 38.930090226200001),3229 14TH ST NW,1,Magnolia Species,Magnolia,,,Excellent,Magnoliaceae,Magnolia
POINT (-76.973041012300001 38.9311891782),2216 KEARNY ST NE,5,Acer species,Maple,,,Good,Aceraceae,Acer
