xy,address,ward,scientific_name,common_name,disease,pests,condition,fam_name,genus_name
POINT (-77.087246112900004 38.950995628699999),4418 CHESAPEAKE ST NW,3,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Good,Rosaceae,Prunus
POINT (-77.096833240699993 38.919680712199998),OPP 2211 49TH ST NW,3,Cornus kousa,Dogwood (Kousa),,,Excellent,Cornaceae,Cornus
POINT (-76.94418874599999 38.879330838199998),4000 BLK G ST SE,7,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.014446929499996 38.917145411699998),OPP 1954 2ND ST NW,5,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.054830644899994 38.909964545699999),1520 26TH ST NW,2,Ginkgo biloba (male),Ginkgo (male),,,Good,Ginkgoaceae,Ginkgo
POINT (-77.066010000800006 38.907557101199998),1321 33RD ST NW,2,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.008441756 38.958784139400002),24 MADISON ST NE,4,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-76.980807916499998 38.942709348599998),opp 1648 MICHIGAN AVE NE,5,Ulmus species,Elm,,,Fair,Ulmaceae,Ulmus
POINT (-77.005810618400005 38.828041257599999),OPP 4121 1ST ST SE,8,Prunus species,Cherry,,,Fair,Rosaceae,Prunus
POINT (-76.973178797200006 38.8683026442),2246 S ST SE,8,Celtis occidentalis,Hackberry,,,Good,Ulmaceae,Celtis
POINT (-76.990882475299998 38.830788005099997),OPP 859 BELLEVUE CIR SE,8,Taxodium distichum,Bald cypress,,,Good,Cupressaceae,Taxodium
POINT (-77.082396559499998 38.943119994699998),4200 Blk VAN NESS ST NW,3,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Good,Rosaceae,Prunus
POINT (-76.946747510099996 38.867065589399999),1620 40TH ST SE,7,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.946846326100001 38.865895244199997),OPP 1670 40TH ST SE,7,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.998566296800007 38.828472190799999),OPP 4224 6TH ST SE,8,Ulmus americana,American elm,,,Poor,Ulmaceae,Ulmus
POINT (-77.0110905879 38.916101899399997),59 RHODE ISLAND AVE NW(median),5,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.993267404199997 38.942812367899997),917 VARNUM ST NE,5,Quercus phellos,Willow oak,,,Fair,Fagaceae,Quercus
POINT (-76.979736268899998 38.889910278899997),1700 EAST CAPITOL ST BN,6,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.014157405700004 38.941440825599997),225 ROCK CREEK CHURCH RD NW,4,Quercus palustris,Pin oak,,,Excellent,Fagaceae,Quercus
POINT (-76.999153381 38.893990460700003),507 C ST NE,6,Tilia americana,American linden,,,Good,Tiliaceae,Tilia
POINT (-77.077536432399995 38.946236668499999),3904 YUMA ST NW,3,Gleditsia triacanthos var. inermis,Thornless honeylocust,,,Excellent,Fabaceae,Gleditsia
POINT (-77.02404199599999 38.879167066299999),700 blk WATER ST SW,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.994885894800007 38.951254369899999),5113 S. DAKOTA AVE NE/Faraday,5,Quercus bicolor,Swamp white oak,,,Good,Fagaceae,Quercus
POINT (-76.993958053200004 38.950331932700003),5022 S. DAKOTA AVE NE/Delafield,5,Lagerstroemia indica,Crape myrtle,,,Good,Lythraceae,Lagerstroemia
POINT (-77.1036254821 38.944916977699997),4200 DALECARLIA PKWY NW,3,Other (See Notes),Other (See Notes),,,Excellent,Fabaceae,Cercis
POINT (-76.990249031100007 38.930555463799998),1211 KEARNY ST NE,5,Amelanchier species,Serviceberry,,,Fair,Rosaceae,Amelanchier
POINT (-77.012105918800003 38.899763906),700 BLOCK 1ST ST NW,6,Ulmus americana 'Jefferson',Jefferson Elm,,,Excellent,Ulmaceae,Ulmus
POINT (-77.017973567599995 38.959161824600002),5715 4TH ST NW,4,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
