POINT (-77.022386604900007 38.969408800099998),6525 7TH ST NW,4,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-77.019057020100007 38.973694907599999),425 BUTTERNUT ST NW,4,Liquidambar styraciflua,Sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-77.030217627699997 38.949701560400001),1302 EMERSON ST NW,4,Cercis species,Redbud,,,Good,Fabaceae,Cercis
POINT (-77.020799901700002 38.975858029299999),505 DAHLIA ST NW,4,Prunus 'Snow Goose',Cherry (Snowgoose),,,Good,Rosaceae,Prunus
POINT (-76.942033323900006 38.907274089),OPP 4245 NASH ST NE,7,Nyssa sylvatica,Tupelo,,,Good,Nyssaceae,Nyssa
POINT (-77.003304667899997 38.902462273099999),203 K ST NE,6,Quercus coccinea,Scarlet oak,,,Good,Fagaceae,Quercus
POINT (-77.019012915800005 38.896332732200001),500 blk 5TH ST NW/E St ,6,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.090823380700002 38.954657361599999),4602 FESSENDEN ST NW,3,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-76.950285627900001 38.897870188399999),3730  blk  FOOTE ST NE,7,Zelkova serrata,Japanese zelkova,,,Fair,Ulmaceae,Zelkova
POINT (-77.014853784 38.8997163019),200 BLOCK MASSACHUSETTS AVE NW,6,,,,,,Rosaceae,Pyrus
POINT (-76.9842313897 38.896904908),531 TENNESSEE AVE NE,6,Zelkova serrata 'Green Vase',,,,Excellent,Ulmaceae,Ulmus
POINT (-77.0271572857 38.911801991700003),1618 11TH ST NW,2,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-76.959541585099998 38.864381570200003),2105 BRANCH AVE SE,7,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.990803560499998 38.879234032),1115 I ST SE,6,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-76.980358777700005 38.887530976199997),1705 INDEPENDENCE AVE SE,6,Ulmus americana 'New Harmony',New Harmony elm,,,Excellent,Ulmaceae,Ulmus
POINT (-76.980467747399999 38.906146417199999),1223 16TH ST NE,5,Morus alba,Mulberry,,,Fair,Moraceae,Morus
POINT (-77.026964236500007 38.915316671200003),1837 11TH ST NW,1,Platanus occidentalis,American sycamore,,,Excellent,Platanaceae,Platanus
POINT (-76.985462323700006 38.920034071099998),1312 ADAMS ST NE,5,Celtis occidentalis,Hackberry,,,Good,Ulmaceae,Celtis
POINT (-77.036183428300006 38.923330087899998),1500 blk  EUCLID ST NW,1,Aesculus flava,Yellow buckeye,,,Excellent,Hippocastanaceae,Aescululs
POINT (-76.982006770599995 38.919997829800003),OPP 2226 15TH ST NE,5,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.003981091300005 38.921858821),2400 BLK LINCOLN RD NE,5,Quercus phellos,Willow oak,,,Poor,Fagaceae,Quercus
POINT (-76.981500192 38.886331996800003),1626 MASSACHUSETTS AVE SE,6,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-77.003013515899994 38.961967814499999),241 ONEIDA ST NE,4,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-76.962898373800002 38.876656741300003),3116 M PL SE,7,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Good,Rosaceae,Prunus
POINT (-77.019821026 38.915051397),1839 6TH ST NW,1,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.0804555526 38.908163638799998),1424 44TH ST NW,3,Amelanchier species,Serviceberry,,,Good,Rosaceae,Amelanchier
POINT (-77.0117308552 38.970542015100001),6612 1ST ST NW,4,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.031877720300002 38.9660987655),1352 SHERIDAN ST NW,4,Prunus species,Cherry,,,Good,Rosaceae,Prunus
POINT (-77.019971340200001 38.914371540399998),1806 6TH ST NW,6,Platanus occidentalis,American sycamore,,,Good,Platanaceae,Platanus
POINT (-76.977036774300004 38.927679526600002),1922 HAMLIN ST NE,5,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.980993742 38.905526114399997),1140 16TH ST NE,5,Platanus x acerifolia 'Bloodgood',Bloodgood london plane tree,,,Good,Platanaceae,Platanus
POINT (-77.0877196916 38.909438372499999),4559 MACARTHUR BLVD NW,3,Taxodium distichum,Bald cypress,,,Excellent,Fagaceae,Quercus
POINT (-76.946552443100003 38.901550448899997),776 KENILWORTH TER NE,7,Quercus coccinea,Scarlet oak,Root Rot,,Poor,Fagaceae,Quercus
POINT (-77.040588716499997 38.923158005799998),1755 EUCLID ST NW,1,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-76.963114618899994 38.9312778794),3216 WALNUT ST NE,5,Platanus x acerifolia,,,,Good,,
POINT (-76.999442405300002 38.905159258399998),1159 5TH ST NE,6,Carpinus species,Hornbeam,,,Good,Betulaceae,Carpinus
POINT (-77.095214879400004 38.922569933399998),opp 4815 CALVERT ST NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.039022443099995 38.946632700400002),OPP 4616 ARGYLE TER NW,4,Quercus rubra,Red oak,,,Fair,Fagaceae,Quercus
POINT (-76.983545987300005 38.909622501400001),1247 MOUNT OLIVET RD NE,5,,,,,,Null,
POINT (-76.991335134099998 38.939711428700001),1008 SHEPHERD ST NE,5,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-77.020503581100002 38.973553449199997),516 BUTTERNUT ST NW,4,Syringa reticulata,Lilac,,,Excellent,Oleaceae,Syringa
POINT (-76.953097182700006 38.871990025),3651 HIGHWOOD DR SE,7,Syringa reticulata,Lilac,,,Good,Oleaceae,Syringa
POINT (-77.043291076900005 38.9155302586),1830 T ST NW,2,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.997116959300001 38.838068196899997),601 MISSISSIPPI AVE SE,8,Syringa reticulata,Lilac,,,Good,Oleaceae,Syringa
POINT (-76.947932113799993 38.884960887200002),4000 BLK D ST SE,7,Acer platanoides,Norway maple,,,Poor,Aceraceae,Acer
POINT (-76.959938321199999 38.884390211499998),3233 D ST SE,7,Pyrus calleryana 'Bradford',Bradford callery pear,,,Good,Null,Other
POINT (-76.974414593299997 38.9147586992),opp 1824 BLADENSBURG RD NE,5,,,,,,,
POINT (-76.980431494 38.882476233699997),1700 BLK POTOMAC AVE SE,6,Ulmus species,,,,Good,Ulmaceae,Zelkova
POINT (-76.953532320500003 38.901127332199998),650 ANACOSTIA AVENUE NE,7,,,,,,,
POINT (-76.921704290500003 38.890705460900001),"East Capitol and Blaine Sts., to 55th St. & 57th *",7,,,,,,,
POINT (-77.006847480299996 38.926076047599999),47 GIRARD ST NE,5,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.0062373361 38.915616895399999),100 blk T ST NE,5,,,,,,,
POINT (-77.012099252900001 38.910205982100003),1519 1ST ST NW,5,Zelkova serrata 'Green Vase',Green Vase Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-76.996680403499994 38.839547851600003),3341 7TH ST SE,8,Ulmus 'Accolade',Elm (Accolade),,,Good,Ulmaceae,Ulmus
POINT (-76.963131792200002 38.932916833900002),3138 MONROE ST NE,5,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.043526421400003 38.916295691400002),1919 19TH ST NW,1,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.046520850600004 38.9329009203),2000 BLK ROSEMOUNT AVE NW,1,Cercis species,Redbud,,,Good,Fabaceae,Cercis
POINT (-77.032988741400004 38.928835258299998),1423 IRVING ST NW,1,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.064128209200007 38.930320001399998),3215 KLINGLE RD NW,3,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.952628733500006 38.900355677599997),600 BLK ANACOSTIA AVE NE,7,Syringa reticulata,Lilac,,,Good,Oleaceae,Syringa
POINT (-77.009181548699999 38.900737653599997),0 NORTH CAPITOL ST BN,6,Quercus bicolor,Swamp white oak,,,Fair,Fagaceae,Quercus
POINT (-76.975123633199999 38.902194421799997),855 20TH ST NE,5,Nyssa sylvatica,Tupelo,,,Excellent,Nyssaceae,Nyssa
POINT (-77.036387773 38.922593933599998),OPP 2460 16TH ST NW,1,,,,,,,
POINT (-77.066320671100002 38.96926968),6007 33RD ST NW,4,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-77.0677861944 38.971228261299999),3326 STEPHENSON PL NW,4,Lagerstroemia indica,Crape myrtle,,,Dead,Lythraceae,Lagerstroemia
POINT (-77.062820209500003 38.967570321099998),3146 PATTERSON ST NW,4,Acer buergeranum,Trident maple,,,Good,Aceraceae,Acer
POINT (-77.041161955 38.932317937500002),1770 PARK RD NW,1,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.974112168700003 38.900853635300003),823 21ST ST NE,5,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.017543013600005 38.949139343100001),0 4TH ST NW,4,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.979116581 38.850042121800001),OPP 1817 TOBIAS DR SE,8,Acer species,Maple,,,Good,Aceraceae,Acer
POINT (-76.978883996199997 38.928245604899999),1800 HAMLIN ST NE,5,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.980873783199996 38.921523171399997),2500 blk 17TH ST NE/Bryant St,5,Malus species,Crabapple,,,Poor,Rosaceae,Malus
POINT (-76.937433120099996 38.910952329799997),1508 45TH ST NE,7,Cercis canadensis,Eastern redbud,,,Good,Fabaceae,Cercis
POINT (-77.024198615900005 38.908527732499998),OPP 903  O ST NW,2,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.076780359599994 38.948128344300002),4529 GRANT RD NW,3,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-76.964630725299997 38.863746606),2953 HILLCREST DR SE,7,Malus species,Crabapple,,,Good,Rosaceae,Malus
POINT (-77.025080540100006 38.9112379054),925  RHODE ISLAND AVE NW/median,2,Prunus species,Cherry,,,Fair,Rosaceae,Prunus
POINT (-76.959043643800001 38.918619146499999),3350 V ST NE,5,,,,,,,
POINT (-77.008637385599997 38.8831742956),0 E ST SE,6,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-77.043380206899997 38.9039300277),1030 19TH ST NW,2,Betula nigra,River birch,,,Good,Betulaceae,Betula
POINT (-76.989223567699995 38.881801746500003),1233 PENNSYLVANIA AVE SE,6,Quercus palustris,Pin oak,,,Poor,Fagaceae,Quercus
POINT (-76.976390284199994 38.893192784699998),1919 C ST NE,6,Quercus coccinea,Scarlet oak,,,Good,Fagaceae,Quercus
POINT (-77.018907577199997 38.969977143900003),417 VAN BUREN ST NW,4,Prunus 'Snow Goose',Cherry (Snowgoose),,,Good,Rosaceae,Prunus
POINT (-77.022896880499999 38.9181690076),2100 BLK 8TH ST NW/V ST,1,,,,,,,
POINT (-76.959159235100003 38.867397707400002),3238 T ST SE,7,Pyrus calleryana 'Bradford',Bradford callery pear,,,Fair,Rosaceae,Pyrus
POINT (-76.980955080100003 38.905394214099999),OPP 1136 16TH ST NE,5,Ulmus 'Accolade',Elm (Accolade),,,Excellent,Ulmaceae,Ulmus
POINT (-77.008431868599999 38.921263221399997),11 BRYANT ST NE/N. Capitol St,5,,,,,,,
POINT (-76.997229678099998 38.904448334199998),638 MORTON PL NE,6,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-77.068328635699999 38.907703843),3410 O ST NW,2,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.032494058500006 38.899333867400003),1425 NEW YORK AVE NW,2,Tilia tomentosa,Silver linden,,,Good,Tiliaceae,Tilia
POINT (-76.926937846599998 38.889105603200001),18 52ND ST SE,7,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.963887391499995 38.856052951800002),2725 TERRACE RD SE,7,Platanus occidentalis,American sycamore,,,Good,Platanaceae,Platanus
POINT (-77.046973542499998 38.923181669500003),1956 CALVERT ST NW,1,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.010157860099994 38.914877563799998),31 SEATON PL NW/NORTH CAPITOL,5,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.0223357956 38.909701132199999),700 BLK P ST NW,2,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-77.004335474200005 38.925757874600002),100 BLK FRANKLIN ST NE,5,Pistacia chinensis,Chinese pistachio,,,Good,Anacardiaceae,Pistacia
POINT (-77.073188924299998 38.946236656099998),3716 YUMA ST NW,3,Quercus bicolor,Swamp white oak,,,Excellent,Fagaceae,Quercus
POINT (-76.974205758599993 38.915018016200001),1805 BLADENSBURG RD NE,5,,,,,,,
POINT (-76.9998860205 38.886496064699998),OPP 414 SEWARD SQ SE,6,Tilia tomentosa,Silver linden,,,Good,Tiliaceae,Tilia
POINT (-77.0275237643 38.962749201),900 PEABODY ST NW,4,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.009895212199993 38.883959896),0 WASHINGTON AVE SW,6,Tilia americana,American linden,,,Good,Tiliaceae,Tilia
POINT (-76.999039184200001 38.946975336900003),47116TH ST NE,5,Acer buergeranum,Trident maple,,,Fair,Aceraceae,Acer
POINT (-76.9904897073 38.902803892),1121 FLORIDA AVE NE,6,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-77.083251478299999 38.950767283499999),4236 RIVER RD NW,3,Carpinus betulus,Hornbeam (European) (Common),,,Good,Betulaceae,Carpinus
POINT (-76.953643322199994 38.863599586500001),2013 37TH ST SE,7,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.004161557499998 38.943952295099997),142 WEBSTER ST NE,5,Prunus species,Cherry,,,Good,Rosaceae,Prunus
POINT (-76.9850312226 38.884060278500002),OPP 1410 D ST SE,6,Tilia tomentosa,Silver linden,,,Good,Tiliaceae,Tilia
POINT (-76.996237193100001 38.860020842499999),1200 blk SUMNER RD SE,8,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.046643009199997 38.922287385099999),1954 BILTMORE ST NW,1,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-76.987736861200005 38.8951542569),1300 Blk D ST NE (in park),6,Quercus phellos,Other (See Notes),,,Good,,
POINT (-76.991592352599994 38.900954307399999),822 11TH ST NE,6,Liquidambar Stryaciflua 'Sterile',Sweetgum (sterile),,,Excellent,Hamamelidaceae,Liquidambar
POINT (-77.0171101671 38.917952294899997),337 OAKDALE PL NW,1,,,,,,,
POINT (-77.015404304399993 38.919561179299997),212 W ST NW,1,Prunus 'Snow Goose',Cherry (Snowgoose),,,Good,Rosaceae,Prunus
POINT (-76.974579280499995 38.90025243),OPP 1953 H ST NE,5,Taxodium distichum,Bald cypress,,,Good,Cupressaceae,Taxodium
POINT (-77.051167175299994 38.917890915900003),2300 KALORAMA RD NW,2,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.014727952300007 38.918419876100003),2022 2ND ST NW,1,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-76.949300279499994 38.898288043599997),0 KENILWORTH AVE NE,7,Other (See Notes),Other (See Notes),,,Excellent,Null,Other
POINT (-77.000470581599998 38.920167565500002),2200 blk 4TH ST NE/Rhode Island Rd,5,Koelreuteria bipinnata,Chinese flame tree,,,Good,Sapindaceae,Koelreuteria
POINT (-77.037414359500005 38.918925192400003),opp 1618 FLORIDA AVE NW,1,Quercus palustris,Pin oak,,,Excellent,Fagaceae,Quercus
POINT (-77.0074005946 38.946016392),4505 CLERMONT DR NE,5,,,,,,,
POINT (-77.005014158799995 38.940878135),112 FORT DR NE,5,Acer buergeranum,Trident maple,,,Good,Aceraceae,Acer
POINT (-77.002714798499994 38.8388309953),3600 BLK 2ND ST SE,8,,,,,,,
POINT (-76.994108114699998 38.922038766299998),804 RHODE ISLAND AVE NE,5,Quercus phellos,Willow oak,,,Fair,Fagaceae,Quercus
POINT (-77.075373929600005 38.920738097300003),3743 BENTON ST NW,3,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-77.035160080599994 38.920847368),opp 2325 15TH ST NW,1,Gleditsia species,Honeylocust,,,Poor,Fabaceae,Gleditsia
POINT (-76.981062949 38.849596197300002),3209 STANTON RD SE,8,Quercus coccinea,Scarlet oak,,,Good,Fagaceae,Quercus
POINT (-76.953604623100006 38.867665810200002),3726 S ST SE,7,Cercis species,Redbud,,,Good,Fabaceae,Cercis
POINT (-76.975208780900005 38.893655626499999),300 blk 21ST ST NE,7,Quercus phellos,Willow oak,Trunk Rot,,Good,Fagaceae,Quercus
POINT (-77.062944525399999 38.906297220699997),1238 WISCONSIN AVE NW,2,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.000645359200007 38.902059718899999),936 4TH ST NE,6,Liquidambar Stryaciflua 'Sterile',Sweetgum (sterile),,,Fair,Hamamelidaceae,Liquidambar
POINT (-76.975410400499996 38.902232765599997),1919 I ST NE,5,Quercus lyrata,Overcup oak,,,Good,Fagaceae,Quercus
POINT (-77.050014317299997 38.9005399586),800 blk 23RD ST NW,2,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-76.943278708899996 38.900580423),4130 HUNT PL NE,7,Lagerstroemia indica,Crape myrtle,,,Good,Lythraceae,Lagerstroemia
POINT (-76.945394281099993 38.905672643800003),4022 MEADE ST NE,7,,Red horsechestnut,,,,,
POINT (-77.000228157699993 38.883287510800002),406 E ST SE,6,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.980326397100001 38.942985124899998),side of1800 VARNUM ST NE @ Michigan Ave,5,Lagerstroemia indica,Crape myrtle,,,Excellent,Lythraceae,Lagerstroemia
POINT (-76.986937474499996 38.9075002123),1616 MONTELLO AVE NE,5,Tilia tomentosa,Silver linden,,,Good,Tiliaceae,Tilia
POINT (-77.051984158099998 38.918685309799997),OPP 82 KALORAMA CIR NW,2,Quercus coccinea,Scarlet oak,,,Good,Fagaceae,Quercus
POINT (-77.058310977900007 38.968371401200002),5869 NEBRASKA AVE NW,4,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-76.989510091599996 38.856483091699999),2600 BLK DOUGLASS PL SE,8,Carpinus caroliniana,Ironwood,,,Good,Betulaceae,Carpinus
POINT (-77.073959279899995 38.912525254899997),3700 blk  RESERVOIR RD NW,2,Acer saccharum,Sugar maple,,,Fair,Aceraceae,Acer
POINT (-77.076499011099997 38.912708264499997),3905 RESERVOIR RD NW,2,Gleditsia triacanthos var. inermis 'Skyline',Skyline honeylocust,,,Good,Fabaceae,Gleditsia
POINT (-76.9396799437 38.912323624099997),4303 PONDS ST NE,7,Ulmus americana 'New Harmony',New Harmony elm,,,Good,Ulmaceae,Ulmus
POINT (-76.999023346399994 38.961613033299997),5900 6TH ST NE,4,Zelkova serrata 'Green Vase',Green Vase Japanese zelkova,,,Excellent,Ulmaceae,Zelkova
POINT (-77.019461641600003 38.957483140199997),442 LONGFELLOW ST NW,4,Quercus lyrata,Overcup oak,,,Excellent,Fagaceae,Quercus
POINT (-77.035592432900003 38.956270506199999),1443 KENNEDY ST NW,4,Nyssa sylvatica,Tupelo,,,Fair,Nyssaceae,Nyssa
POINT (-77.011176436400007 38.953446934900001),Unit blk HAMILTON ST NW,4,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-76.976884736 38.840994788),OPP 1945 VALLEY TER SE,8,Cornus florida,Flowering Dogwood,,,Fair,Cornaceae,Cornus
POINT (-76.961324017899997 38.918579713699998),3100 blk V ST NE,5,,,,,,,
POINT (-77.056906818399995 38.975763105),3104 WORTHINGTON ST NW,4,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.008862686300006 38.919523566199999),opp 2210 NORTH CAPITOL ST BN,5,,,,,Good,,
POINT (-76.983295932600001 38.907111631699998),1300 blk MEIGS PL NE/trinidad,5,Zelkova serrata,Japanese zelkova,,,Excellent,Ulmaceae,Zelkova
POINT (-76.971633710800006 38.851590916699998),2410 ALABAMA AVE SE,8,Quercus acutissima,Sawtooth oak,,,Good,Fagaceae,Quercus
POINT (-77.0797929039 38.923054281299997),4000 Calvert St NW (Stoddert Elementary School),3,Cercis canadensis,Eastern redbud,,,Excellent,Fabaceae,Cercis
POINT (-77.026503235 38.914987337100001),1817 VERMONT AVE NW (median),1,Ulmus parvifolia,Chinese elm,,,Excellent,Ulmaceae,Ulmus
POINT (-77.079760996600001 38.923081337500001),4000 Calvert St NW,3,Sassafras albidum,Sassafras,,,Excellent,Lauraceae,Sassafras
POINT (-76.925962969300002 38.903657165),OPP 5151 SHERIFF RD NE,7,Platanus occidentalis,American sycamore,,,Good,Platanaceae,Platanus
POINT (-77.0201483763 38.899902270699997),600 BLK H ST NW,2,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.019345938200004 38.915673724),518 T ST NW,1,Prunus 'Snow Goose',Cherry (Snowgoose),,,Excellent,Rosaceae,Prunus
POINT (-76.974243898300003 38.901550559199997),846 21ST ST NE,5,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.070556962599994 38.9265357357),"Massachusetts Ave.,36th St.,Fulton,NW",3,,,,,,,
