xy,address,ward,scientific_name,common_name,disease,pests,condition,fam_name,genus_name
POINT (-77.0633597092 38.954143303899997),4949 LINNEAN AVE NW,3,Ulmus americana 'Princeton',Princeton elm,,,Good,Ulmaceae,Ulmus
POINT (-77.077636355300001 38.930741342),3044 IDAHO AVE NW,3,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-77.077969303200007 38.930345317499999),3040 IDAHO AVE NW,3,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.031005963699997 38.986283745199998),1320 LEEGATE RD NW,4,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-77.007217977300002 38.911909947700003),44 QUINCY PL NE,5,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.029775824400005 38.959590687499997),5740 13TH ST NW,4,Acer platanoides,Norway maple,,,Fair,Aceraceae,Acer
POINT (-76.966882042899996 38.863220989299997),opp 2910 W ST SE,7,Acer saccharinum,Silver maple,,,Good,Aceraceae,Acer
POINT (-77.031961899400002 38.962389712399997),5926 13TH PL NW,4,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.079965464899999 38.912754808599999),3900 BLK RESERVOIR RD NW,3,Quercus bicolor,Swamp white oak,,,Excellent,Fagaceae,Quercus
POINT (-77.003289443699998 38.896179286600002),202 E ST NE,6,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-76.997576762400001 38.950610119799997),609 FARADAY PL NE,5,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.092542422700006 38.924404901199999),4774 DEXTER ST NW,3,Lagerstroemia indica,Crape myrtle,,,Excellent,Lythraceae,Lagerstroemia
POINT (-76.945216800899999 38.892637684699999),4057 CLAY PL NE,7,Gleditsia triacanthos var. inermis,Thornless honeylocust,,,Good,Fabaceae,Gleditsia
POINT (-77.045041300400001 38.9110904562),2000 BLK Q ST NW,2,Platanus x acerifolia,London plane tree,,,Fair,Platanaceae,Platanus
POINT (-77.002105339 38.895954245699997),442 3RD ST NE,6,,,,,,Fagaceae,Quercus
POINT (-77.031382306099999 38.981956176600001),7528 MORNINGSIDE DR NW,4,Ulmus americana,American elm,,,Fair,Ulmaceae,Ulmus
POINT (-77.052530601499996 38.907300191399997),opp 2450 N ST NW,2,Platanus x acerifolia,London plane tree,BLS,,Fair,Platanaceae,Platanus
POINT (-77.023891118500003 38.934400345),3559 GEORGIA AVE NW,1,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.9763553457 38.9350462166),1900 BLK OTIS ST NE,5,Lagerstroemia indica,Crape myrtle,,,Good,Lythraceae,Lagerstroemia
POINT (-77.068137014499996 38.963957428199997),3404 MORRISON ST NW,3,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.989929693600004 38.934523722),1225 OTIS ST NE,5,Acer buergeranum,Trident maple,,,Good,Aceraceae,Acer
POINT (-76.95633678199999 38.892836528399997),3434 BAKER ST NE,7,Quercus lyrata,Overcup oak,,,Good,Fagaceae,Quercus
POINT (-77.049537189199995 38.9140493019),2222 S ST NW,2,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-76.986462716299997 38.885137799799999),307 KENTUCKY AVE SE,6,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.051174313800004 38.898274978300002),2300 BLK G ST NW,2,Acer platanoides,Norway maple,,,Fair,Aceraceae,Acer
POINT (-76.956449112200005 38.9271459717),3500 blk COMMODORE JOSHUA BARNEY DR NE,5,Quercus coccinea,Scarlet oak,,,Good,Fagaceae,Quercus
POINT (-77.057406519899999 38.942010591299997),2828 UPTON ST NW,3,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-77.087490555100004 38.9285556038),2930 44TH PL NW,3,Ginkgo biloba (male),Ginkgo (male),,,Excellent,Ginkgoaceae,Ginkgo
POINT (-77.082252289699994 38.953712358200001),4904 WISCONSIN AVE NW,3,Carpinus caroliniana,Ironwood,,,Excellent,Betulaceae,Carpinus
POINT (-76.989803818200002 38.926529090099997),1223 GIRARD ST NE,5,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.088219933800005 38.930233730099999),Opp 4439 CATHEDRAL AVE NW,3,Magnolia Species,Magnolia,,,Excellent,Magnoliaceae,Magnolia
POINT (-77.090633264900006 38.933378177),3245 NEBRASKA AVE NW,3,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-77.058431237099995 38.947946291599997),2911 ALBEMARLE ST NW,3,Ulmus species,Elm,,,Good,Ulmaceae,Ulmus
POINT (-77.068956330899994 38.951369304799996),3526 CUMBERLAND ST NW,3,Ginkgo biloba (male),Ginkgo (male),,,Fair,Ginkgoaceae,Ginkgo
POINT (-77.019823534400004 38.885598158699999),300 BLK 6TH ST SW,6,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-76.990681956800003 38.895957457900003),1100 blk E St NE (in park),6,Acer rubrum,Other (See Notes),,,Good,,
POINT (-77.0277518818 38.932973543700001),1007 MONROE ST NW,1,Platanus x acerifolia,London plane tree,,,Excellent,Platanaceae,Platanus
POINT (-76.992730275499994 38.933061489700002),3500 blk 10th NE,5,Prunus virginiana,,,,Excellent,,
POINT (-76.993394791 38.892064076600001),906 CONSTITUTION AVE NE,6,Gymnocladus dioicus,,BLS,,Excellent,Aceraceae,Acer
POINT (-76.926887250899995 38.879143320899999),5200 BLK SOUTHERN AVE SE,7,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-77.024074761099996 38.895959406099998),400 BLK 9TH ST NW,2,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-76.959802177599997 38.892056155399999),3300 BLK BLAINE ST NE,7,Quercus macrocarpa,Bur oak,,,Good,Ulmaceae,Celtis
POINT (-76.971095597900003 38.936599543100002),3811 25TH PL NE,5,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Good,Rosaceae,Prunus
POINT (-77.07133589199999 38.967165472799998),5819 NEVADA AVE NW,3,Carpinus betulus,Hornbeam (European) (Common),,,Good,Betulaceae,Carpinus
POINT (-77.030109583599994 38.898404010100002),1300 BLK G ST NW,2,Quercus bicolor,Swamp white oak,,,Good,Fagaceae,Quercus
POINT (-77.064763740100005 38.9666761776),3210 OLIVER ST NW,4,Pistacia chinensis,Chinese pistachio,,,Good,Anacardiaceae,Pistacia
POINT (-77.074996193600001 38.964860488),3772 MCKINLEY ST NW,3,Quercus lyrata,Overcup oak,,,Good,Fagaceae,Quercus
POINT (-76.957580851399996 38.892490011699998),216 34TH ST NE,7,Betula nigra,River birch,,,Good,Betulaceae,Betula
POINT (-77.060181115399999 38.9666274649),5801 UTAH AVE NW,4,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-77.015108896100003 38.893168282600001),200 BLOCK 3RD ST NW,6,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.058088180300004 38.907901919099999),1333 29TH ST NW,2,Koelreuteria paniculata,Goldenrain tree,,,Good,Sapindaceae,Koelreuteria
POINT (-77.038292174899993 38.900132232300002),1610 H ST NW,2,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.037793675700001 38.957045806399996),4289 KENNEDY PL NW,4,Other (See Notes),Other (See Notes),,,Excellent,Null,Other
POINT (-77.0019706179 38.915886794800002),opp 1904 3RD ST NE,5,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-77.01585663 38.952738118500001),5113 3RD ST NW,4,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.0967021286 38.9466233972),4415 49TH ST NW,3,Quercus bicolor,Swamp white oak,,Scale,Good,Fagaceae,Quercus
POINT (-77.092463418400001 38.947150734600001),4645 ALTON PL NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.076633310899993 38.948883637599998),OPP 4523 NEBRASKA AVE NW,3,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.096834314 38.9447297221),4306 49TH ST NW,3,Quercus bicolor,Swamp white oak,,,Fair,Fagaceae,Quercus
POINT (-77.041216415700006 38.941344041599997),4105 18TH ST NW,4,Ulmus americana 'Princeton',Princeton elm,,,Good,Ulmaceae,Ulmus
POINT (-76.996239275099995 38.9319050119),3400 blk 7TH ST NE,5,,,,,,,
POINT (-77.003446383699995 38.917455088799997),2021 2ND ST NE,5,Platanus x acerifolia 'Bloodgood',Bloodgood london plane tree,,,Good,Platanaceae,Platanus
POINT (-76.981345925599996 38.847358193700003),1527 TANNER ST SE,8,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-76.922269064299996 38.892557245699997),247 55TH ST NE,7,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.984567468600005 38.845871391700001),1400 CONGRESS PL SE,8,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.999840472499997 38.890996168900003),OPP 419 A ST NE,6,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.094416460199994 38.940042594),3816 48TH ST NW,3,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-77.091303552100001 38.946244461299997),4610 YUMA ST NW,3,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-76.964706369200002 38.930803659299997),3033 CLINTON ST NE/Central Ave,5,,,,,,,
POINT (-77.073883344799995 38.969957852),6101 WESTERN AVE NW,3,Cercis species,Redbud,,,Excellent,Fabaceae,Cercis
POINT (-76.921334103600003 38.884018415),5500 BLK C ST SE,7,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-77.024431594299998 38.902965504299999),900 BLK MASSACHUSETTS AVE NW,2,Tilia tomentosa,Silver linden,,,Good,Tiliaceae,Tilia
POINT (-76.966706064299999 38.870419835299998),1600 28TH PL SE,7,Malus species,Crabapple,,,Fair,Rosaceae,Malus
POINT (-77.004450824200006 38.941981673500003),4320 2ND ST NE/taussig,5,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-76.993377181300005 38.837254563800002),3700 BLK WHEELER RD SE,8,Betula nigra,River birch,,,Good,Betulaceae,Betula
POINT (-77.057430032100001 38.968512343100002),5910 MORELAND ST NW,4,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-77.069480146900005 38.968368569100001),opp 5918 BROAD BRANCH RD NW,4,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-77.075282677499999 38.968866744499998),6001 WESTERN AVE NW,3,Cercis species,Redbud,,,Excellent,Fabaceae,Cercis
POINT (-77.072141662600004 38.967571275799997),3600 PATTERSON ST NW,3,Acer saccharum,Sugar maple,,,Fair,Aceraceae,Acer
POINT (-77.083722724699996 38.943410554899998),4201 43RD ST NW,3,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.079784027100004 38.929908981600001),4100 CATHEDRAL AVE NW,3,Fraxinus species,Ash,,,Poor,Oleaceae,Fraxinus
POINT (-76.965174433100003 38.863322350300002),opp 2941 W ST SE,7,Cladrastis lutea,Yellowwood,,,Excellent,Fabaceae,Cladrastis
POINT (-76.990151879799996 38.839453780900001),1000 BLK MISSISSIPPI AVE SE,8,Cercis canadensis,,,,Excellent,,
POINT (-76.983937235300004 38.927436711200002),2915 15th St NE,5,Taxodium distichum,,,,Good,,
POINT (-77.001253461 38.930985288499997),300 blk MICHIGAN AVE NE,5,,,,,,,
POINT (-76.996771884500006 38.833376382099999),425 CHESAPEAKE STREET SE,8,,,,,,,
POINT (-76.939300448899999 38.908606781499998),4426 ORD ST NE,7,Amelanchier species,Serviceberry,,,Good,Rosaceae,Amelanchier
POINT (-76.982798361500002 38.942509405499997),1600 blk MICHIGAN AVE NE,5,Ulmus species,Elm,,,Good,Ulmaceae,Ulmus
POINT (-77.022924179499995 38.967978316699998),711 TEWKESBURY PL NW,4,Ginkgo biloba,Ginkgo,,,Good,Ginkgoaceae,Ginkgo
POINT (-76.992715351100003 38.896783792699999),524 10TH ST NE,6,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.044840094199998 38.898493500100003),700 BLK 20TH ST NW,2,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.0039687875 38.832018407699998),OPP 142 YUMA ST SE,8,Koelreuteria paniculata,Goldenrain tree,,,Good,Sapindaceae,Koelreuteria
POINT (-77.054963711699997 38.967369621899998),2608 NORTHAMPTON ST NW,4,Cercis canadensis,Eastern redbud,,,Good,Fabaceae,Cercis
POINT (-77.058248396400003 38.965175227),5600 UTAH AVE NW,4,Koelreuteria paniculata,Goldenrain tree,,,Good,Sapindaceae,Koelreuteria
POINT (-76.93254782299999 38.886892005699998),219 50TH STREET SE,7,,,,,,,
POINT (-76.922944598 38.894168562300003),333 54TH ST NE,7,,Goldenrain tree,,,,,
POINT (-77.070033460600001 38.965767598900001),3528 NORTHAMPTON ST NW,3,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.022789204600002 38.938646720900003),"New Hampshire Ave.,8th St.,Randolph St.,NW",4,,,,,,,
POINT (-77.082084516400002 38.958483230500001),5236 42ND ST NW,3,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-76.992393154599995 38.894738309899999),1000 BLK D ST NE,6,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.030393636 38.946184355),1307 BUCHANAN ST NW,4,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-76.991730327400006 38.929487558799998),1015 JACKSON ST NE,5,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-76.953988995499998 38.869684089499998),3529 HIGHWOOD DR SE,7,Syringa reticulata,Lilac,,,Good,Oleaceae,Syringa
POINT (-77.052822780100001 38.898777049700001),2475 VIRGINIA AVE NW,2,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.988587069600001 38.921136398900003),1302 BRYANT ST NE/Brentwood Rd,5,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-76.967081334900001 38.869435933799998),2813 R ST SE,7,Carpinus caroliniana,Ironwood,,,Good,Betulaceae,Carpinus
POINT (-77.062952994900002 38.957053954800003),3055 HARRISON ST NW,3,Acer rubrum,Red maple,Trunk Rot,,Fair,Aceraceae,Acer
POINT (-77.068641533600001 38.963052331599997),3428 LIVINGSTON ST NW,3,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-77.0674728069 38.9635553978),5508 BROAD BRANCH RD NW,3,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.066766942399994 38.960974875700003),Opp 3301 MILITARY RD NW,3,Quercus phellos,Willow oak,,,Fair,Fagaceae,Quercus
POINT (-77.062634435299998 38.962571404099997),opp 5442 31ST ST NW,4,Quercus nuttallii,Nuttall oak,,,Good,Fagaceae,Quercus
POINT (-76.986629412 38.936237866),1300 blk PERRY ST NE,5,Quercus velutina,Black oak,,,Good,Fagaceae,Quercus
POINT (-77.029779684900006 38.956406952599998),5502 13TH ST NW,4,Acer campestre,Hedge maple,,,Good,Aceraceae,Acer
POINT (-77.067843998100003 38.912949123300002),1685 34TH ST NW,2,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-76.991360259700002 38.902578598200002),1100 K ST NE,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.065539477800002 38.930321982899997),3241 KLINGLE RD NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.996385031700001 38.903684648899997),600 BLOCK L ST NE,6,Liquidambar Stryaciflua 'Sterile',Sweetgum (sterile),,,Good,Hamamelidaceae,Liquidambar
POINT (-76.957591151299994 38.884911130500001),325 34TH ST SE,7,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-77.074038440099997 38.965867531),3733 NORTHAMPTON ST NW,3,Carpinus betulus,Hornbeam (European) (Common),,,Poor,Betulaceae,Carpinus
POINT (-77.0714018659 38.969724297200003),3516 RITTENHOUSE ST NW,3,Acer saccharum,Sugar maple,,,Fair,Aceraceae,Acer
POINT (-77.035858297600001 38.928026941200002),3035 15TH ST NW,1,Liquidambar rotundiloba,Rotundiloba sweetgum,,,Excellent,Hamamelidaceae,Liquidambar
POINT (-77.000030377300007 38.886446066300003),400 BLK PENNSYLVANIA AVE SE,6,Quercus coccinea,Scarlet oak,,,Good,Fagaceae,Quercus
POINT (-77.053498629700002 38.916964127299998),2420 WYOMING AVE NW,2,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
