xy,address,ward,scientific_name,common_name,disease,pests,condition,fam_name,genus_name
POINT (-77.004047335199999 38.925675251800001),100 BLK FRANKLIN ST NE,5,Quercus shumardi,Shumard oak,,,Good,Fagaceae,Quercus
POINT (-77.003984437300005 38.925660241700001),100 BLK FRANKLIN ST NE,5,Ostrya virginiana,American hop hornbeam,,,Good,Betulaceae,Ostrya
POINT (-77.001305996400006 38.925668049599999),opp 315 FRANKLIN ST NE,5,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.00171983 38.925539532499997),300 BLK FRANKLIN ST NE,5,Acer ginnala,Amur maple,,,Good,Aceraceae,Acer
POINT (-77.066323839299997 38.963602590900003),5507 33RD ST NW,4,Prunus yedoensis,Yoshino cherry,,,Excellent,Rosaceae,Prunus
POINT (-77.109407039700002 38.9324690555),5300 blk MANNING PL NW,3,Carpinus species,Hornbeam,,,Good,Betulaceae,Carpinus
POINT (-76.920459699099993 38.896556125),500 blk 56TH ST NE,7,,,,,,,
POINT (-76.912987388100007 38.889960412800001),0 SOUTHERN AVE NE,7,,,,,,,
POINT (-76.948956388400006 38.8856467142),0 RIDGE RD SE,7,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-76.979076369400005 38.903950830200003),1100 blk 17TH ST NE,5,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.965212473299999 38.927083886399998),2810 30TH ST NE/Yost Pl,5,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-76.977214063199995 38.893576851600002),opp 302 19TH ST NE,7,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.060004545200002 38.923898309),2600 blk 30TH ST NWWOODLAND DR,3,Cercis species,Redbud,,,Good,Fabaceae,Cercis
POINT (-77.040239815600003 38.901401709399998),1725 I ST NW,2,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.077900825900002 38.944974671),4301 WISCONSIN AVE NW,3,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.027114800600003 38.9190549976),2134 11TH ST NW,1,Styphnolobium japonicum,Japanese pagodatree,,,Good,Fabaceae,Styphnolobium
POINT (-77.028505884799998 38.918069755600001),1204 V ST NW,1,Quercus phellos,Willow oak,,,Good,,
POINT (-77.067600406899999 38.915247218799998),1800 block WISCONSIN AVE NW,2,Ulmus parvifolia,Chinese elm,,,Excellent,Ulmaceae,Ulmus
POINT (-76.998382582700003 38.883611651599999),416 6TH ST SE,6,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-76.982287656500006 38.883045888300003),400 BLK 16TH ST SE,6,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.072040579299994 38.964959367900001),3701 MCKINLEY ST NW,3,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-77.088707143299999 38.930472363),3012 45TH ST NW,3,Ulmus americana,American elm,,,Fair,Ulmaceae,Ulmus
POINT (-77.077614406 38.964055397700001),3903 MORRISON ST NW,3,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.971361794 38.898017894900001),opp 2419 BENNING RD NE,5,Syringa reticulata,Lilac,,,Dead,Oleaceae,Syringa
POINT (-77.067273924800006 38.965874563100002),Opp 3320 Northampton st nw ,4,Platanus x acerifolia,London plane tree,,,Good,,
POINT (-76.930675880099997 38.885508045100003),237 50TH ST SE,7,,,,,,Rosaceae,Prunus
POINT (-77.02588070199999 38.900413970800003),800 BLOCK 10TH ST NW,2,Quercus bicolor,Swamp white oak,,,Fair,Fagaceae,Quercus
POINT (-76.9853038973 38.885414842199999),1402 C ST SE,6,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-77.011864529899995 38.896043290199998),UNIT BLOCK E ST NW,6,Ginkgo biloba (male),Ginkgo (male),,,Good,Ginkgoaceae,Ginkgo
POINT (-76.990699150400005 38.895833059399997),1100 blk E St NE (in park),6,Quercus palustris,Other (See Notes),,,Good,,
POINT (-76.984571052700005 38.933730362200002),3514 15th St NE,5,Cornus kousa,,,,Good,,
POINT (-77.012211525300003 38.944460127299998),100 blk WEBSTER ST NW,4,Quercus bicolor,Chestnut oak,,,Good,Fagaceae,Quercus
POINT (-76.973146899 38.940700570499999),2221 TAYLOR ST NE,5,Acer ginnala,Amur maple,,,Good,Aceraceae,Acer
POINT (-77.011641502399996 38.894850644400002),UNIT BLK D ST NW,6,Quercus macrocarpa,Bur oak,,,Good,Fagaceae,Quercus
POINT (-76.934186866600001 38.873644512),0 SOUTHERN AVE SE,7,,,,,Good,,
POINT (-77.001355850300001 38.904459274600001),1122 ABBEY PL NE,6,Quercus bicolor,Swamp white oak,,,Good,Fagaceae,Quercus
POINT (-76.980635074700004 38.936574051699999),3813 17TH PL NE/Otis Pl,5,Ginkgo biloba,Ginkgo,,,Good,Ginkgoaceae,Ginkgo
POINT (-77.032280372399995 38.933130307299997),1370 MERIDIAN PL NW,1,Ginkgo biloba (male),Ginkgo (male),,,Good,Ginkgoaceae,Ginkgo
POINT (-76.999788165799998 38.925640607299997),422 FRANKLIN ST NE,5,Zelkova serrata 'Green Vase',Green Vase Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.039647796699995 38.946111913800003),4509 ARGYLE TER NW,4,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.991321404399997 38.841976753600001),3315 11TH PL SE,8,Prunus Okame,Okame cherry,,,Good,Rosaceae,Prunus
POINT (-77.036798027200007 38.909593594900002),1600 block P ST NW,2,,,,,,,
POINT (-76.996102988800004 38.930836878400001),3305 7TH ST NE,5,Taxodium distichum,Bald cypress,,,Excellent,,
POINT (-76.991641282900005 38.865228413799997),2200 BLK RAILROAD AVE SE,8,,,,,,,
POINT (-77.031400938700003 38.933130124599998),1348 MERIDIAN PL NW,1,Ginkgo biloba (female),Ginkgo (female),,,Good,Ginkgoaceae,Ginkgo
POINT (-77.060725422399997 38.912836202400001),OPP 3046 R ST NW,2,Ginkgo biloba (male),Ginkgo (male),,,Good,Ginkgoaceae,Ginkgo
POINT (-77.088570864900007 38.927666194499999),2901 45TH ST NW,3,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.081588011600005 38.9194930261),4115 W ST NW,3,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-76.992698425599997 38.941928092600001),4300 10TH ST NE,5,Quercus bicolor,Swamp white oak,,,Good,Fagaceae,Quercus
POINT (-76.991276422799999 38.865576585),2200 BLK RAILROAD AVE SE,8,,,,,,,
POINT (-77.023334109700002 38.972831567699998),6806 PINEY BRANCH RD NW,4,Ulmus species,Elm,,,Good,Ulmaceae,Ulmus
POINT (-76.9646596539 38.9291215983),3002 VISTA ST NE,5,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-77.014519517899998 38.894715429100003),0 D ST NW,6,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.032177867300007 38.925235567500003),270114TH ST NW,1,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.033828229600005 38.925361108899999),1432 GIRARD ST NW,1,Ginkgo biloba,Ginkgo,,,Excellent,Ginkgoaceae,Ginkgo
POINT (-77.082983890799994 38.911264117100004),1709 SURREY LN NW,3,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Excellent,Rosaceae,Prunus
POINT (-77.052664613499999 38.924208868800001),2600 24TH ST NW,3,Ulmus parvifolia,Chinese elm,,,Excellent,Ulmaceae,Ulmus
POINT (-76.918470039900001 38.8898794682),OPP 5749 EAST CAPITOL ST SE,7,,,DED,,,Ulmaceae,
POINT (-77.0647637223 38.927189002600002),opp 3242 WOODLAND DR NW,3,Quercus bicolor,Swamp white oak,,,Fair,Fagaceae,Quercus
POINT (-77.036353536600004 38.936080325),3541 16TH ST NW,1,Quercus palustris,Pin oak,,,Excellent,Fagaceae,Quercus
POINT (-77.030152685600001 38.925704562299998),1300 GIRARD ST NW,1,Platanus x acerifolia,London plane tree,,,Excellent,Aceraceae,Acer
POINT (-77.029501394299999 38.904984657200004),1100 BLK 13TH ST NW,2,Betula nigra,River birch,,,Good,Betulaceae,Betula
POINT (-76.920251438799994 38.8853739451),5550 B ST SE,7,,,,,,Aceraceae,Acer
POINT (-76.996114878200004 38.8830029712),426 7TH ST SE,6,,,,,,Aceraceae,Acer
POINT (-77.000513409 38.954270154200003),5217 4TH ST NE/Hamilton,5,Acer saccharum,Sugar maple,,,Fair,Aceraceae,Acer
POINT (-76.996864943600002 38.946337368899997),700 BUCHANAN ST NE,5,Quercus acutissima,Sawtooth oak,,,Good,Fagaceae,Quercus
POINT (-77.089469037399994 38.911217602400001),4600 MACARTHUR BLVD NW,3,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.02979630599999 38.925303024800002),2720 13TH ST NW,1,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.099233767499996 38.950143026100001),4607 WESTERN AVE NW,3,Prunus yedoensis,Yoshino cherry,,,Good,Rosaceae,Prunus
POINT (-77.036435071100001 38.941048616800003),4100 BLK 16TH ST NW (MEDIAN),4,Lagerstroemia indica,Crape myrtle,,,Good,Lythraceae,Lagerstroemia
POINT (-77.086268840599999 38.956095973099998),5100 44TH ST NW,3,Acer buergeranum,Trident maple,,,Excellent,Aceraceae,Acer
POINT (-76.987584476500004 38.902869493099999),1266 MORSE ST NE,5,Other (See Notes),Other (See Notes),,,Excellent,Tiliaceae,Tilia
POINT (-77.073507857 38.970238292),6111 WESTERN AVE NW,3,Cercis species,Redbud,,,Excellent,Fabaceae,Cercis
POINT (-77.074649198 38.957846661799998),5204 38TH ST NW,3,Liquidambar Stryaciflua 'Sterile',Sweetgum (sterile),,,Good,Hamamelidaceae,Liquidambar
POINT (-77.062723709300002 38.906162648699997),1243 WISCONSIN AVE NW,2,,,,,,Aceraceae,Acer
POINT (-76.974967594399999 38.902429299),2001  I ST NE,5,Tilia cordata,Littleleaf linden,,,Dead,Tiliaceae,Tilia
POINT (-76.958658338899994 38.867453552500002),3250 T ST SE,7,Celtis occidentalis,Hackberry,,,Good,Ulmaceae,Celtis
POINT (-76.981323815600007 38.855226745499998),1600 blk  GAINESVILLE ST SE,8,Prunus yedoensis,Yoshino cherry,,,Good,Rosaceae,Prunus
POINT (-77.060222132 38.9234862347),2615 30TH ST NW,3,Cercis species,Redbud,,,Excellent,Fabaceae,Cercis
POINT (-77.037991666799996 38.930988401100002),1652 LAMONT ST NW,1,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.006271923 38.876593112400002),80 M ST SE,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.011998692 38.894850926499998),UNIT BLK D ST NW,6,Amelanchier species,Serviceberry,,,Good,Rosaceae,Amelanchier
POINT (-76.997426740400002 38.894539764900003),624 MARYLAND AVE NE,6,Quercus bicolor,Swamp white oak,,,Good,Fagaceae,Quercus
POINT (-76.991997572399995 38.884055581299997),1000 BLK D ST SE,6,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-77.067421427599996 38.908812349400002),3300 blk P ST NW,2,Acer saccharum,Sugar maple,,,Fair,Aceraceae,Acer
POINT (-77.000220699 38.878346999500003),409 K ST SE,6,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.0269229954 38.905825183399998),1200 BLK 11TH ST NW,2,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.046820133899999 38.914890432200004),2100 Blk of BANCROFT PL NW,2,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-77.067377392 38.937384857700003),3423  PORTER ST NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.024536987 38.951437418600001),5014 ILLINOIS AVE NW,4,Acer campestre,Hedge maple,,,Good,Aceraceae,Acer
POINT (-77.080887198900001 38.964674608199999),5518  WESTERN AVE NW,3,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
