POINT (-76.95220324 38.891205788500002),3732 MINNESOTA AVE NE,7,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-76.939318952400001 38.910573847899997),4433 DOUGLAS ST NE,7,Tilia tomentosa,Silver linden,,,Good,Tiliaceae,Tilia
POINT (-76.951060942 38.8924468887),3815 MINNESOTA AVE NE,7,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Good,Rosaceae,Prunus
POINT (-76.930392454300005 38.905967466699998),OPP 4918 MEADE ST NE HOUSTON ELEMENTARY SCHOOL ,7,Acer campestre,Hedge maple,,,Good,Aceraceae,Acer
POINT (-76.929873414400006 38.905976861699997),OPP 4928 MEADE ST NE HOUSTON ELEMENTARY SCHOOL ,7,Acer campestre,Hedge maple,,,Good,Aceraceae,Acer
POINT (-77.065735073900001 38.949807422),FOREST HILLS PARK ,3,Pinus strobus,White pine,,,Good,Pinaceae,Pinus
POINT (-77.065723328600001 38.949892644899997),FOREST HILLS PARK ,3,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-77.006464811499995 38.9475327054),unit blk Buchanan St NE,5,Cercis species,Redbud,,,Excellent,Fabaceae,Cercis
POINT (-76.988164328899998 38.926907397800001),2901 13th St NE,5,Liquidambar styraciflua,Sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-77.001052471899996 38.9013883159),318 I ST NE,6,Zelkova serrata,Japanese zelkova,,,Excellent,Ulmaceae,Zelkova
POINT (-77.002313178799994 38.914879221500001),200 blk SEATON PL NE,5,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.044260435599995 38.932156847599998),3220 19TH ST NW,1,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Excellent,Rosaceae,Prunus
POINT (-77.015107877899993 38.877749053599999),1016 3RD ST SW,6,Quercus alba,White oak,,,Good,Fagaceae,Quercus
POINT (-77.022879524700002 38.899096137500003),733 8TH ST NW,2,Acer platanoides,Norway maple,,,Fair,Aceraceae,Acer
POINT (-76.93925537699999 38.901334841299999),814 44TH ST NE,7,Malus species,Crabapple,,,Good,Rosaceae,Malus
POINT (-77.087906314899996 38.911059087399998),4571 INDIAN ROCK TER NW,3,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-77.0440939904 38.923723065799997),2611 ADAMS MILL RD NW,1,Carpinus species,Hornbeam,,,Poor,Betulaceae,Carpinus
POINT (-77.043259035 38.903824516699999),1899 L ST NW,2,Metasequoia glyptostroboides,Dawn redwood,,,Good,Cupressaceae,Metasequoia
POINT (-77.041696978499999 38.989791697199998),1821 REDWOOD TER NW,4,Metasequoia glyptostroboides,Dawn redwood,,,Good,Cupressaceae,Metasequoia
POINT (-77.042648412 38.989050255099997),1859 REDWOOD TER NW,4,Metasequoia glyptostroboides,Dawn redwood,,,Good,Cupressaceae,Metasequoia
POINT (-77.034866832899993 38.965486867099997),1429 RITTENHOUSE ST NW,4,Cercis species,Redbud,,,Good,Fabaceae,Cercis
POINT (-77.042262053200005 38.989288371299999),1845 REDWOOD TER NW,4,Metasequoia glyptostroboides,Dawn redwood,,,Good,Cupressaceae,Metasequoia
POINT (-76.957885316399995 38.892054022300002),OPP 3377 BLAINE ST NE,7,Ulmus 'Accolade',Elm (Accolade),,,Good,Ulmaceae,Ulmus
POINT (-77.0104397721 38.9699285919),36 VAN BUREN ST NW,4,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.049014373199995 38.907307856700001),2201 N ST NW,2,Zelkova serrata 'Green Vase',Green Vase Japanese zelkova,,,Excellent,Ulmaceae,Zelkova
POINT (-77.060145561300004 38.9808693855),7016 WESTERN AVE NW,4,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Good,Rosaceae,Prunus
POINT (-76.980822648300006 38.932016866300003),1701 LAWRENCE ST NE,5,,,,,,,
POINT (-76.925602615299994 38.901660599300001),859 52ND ST NE,7,Prunus virginiana,Chokecherry,,,Good,Rosaceae,Prunus
POINT (-76.956176755499996 38.892095650400002),OPP 214 KENILWORTH AVE NE,7,Cedrus deodora,Deodar cedar,,,Good,Pinaceae,Cedrus
POINT (-77.071025079099996 38.933542073700004),3601 MACOMB ST NW,3,Liquidambar Stryaciflua 'Sterile',Sweetgum (sterile),,,Excellent,Hamamelidaceae,Liquidambar
POINT (-76.955955205099997 38.892523431),200 blk KENILWORTH AVE NE,7,Platanus x acerifolia,London plane tree,,,Poor,Platanaceae,Platanus
POINT (-77.016570236299998 38.908133115699997),400 Blk O st Nw,6,Ailanthus altissima,Tree-of-heaven,,,Good,Simaroubaceae,Ailanthus
POINT (-76.992945891100007 38.885990226399997),911 C ST SE,6,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.081549688699994 38.925219658700001),2700 42ND ST NW,3,,,,,,,
POINT (-76.997606273499997 38.887659217299998),626 INDEPENDENCE AVE SE,6,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-76.992492127700004 38.922984547600002),2504 10TH ST NE,5,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-76.995005085200006 38.957840300199997),759 NICHOLSON ST NE,4,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.996707005700003 38.884705290699998),651 PENNSYLVAVIA AVE SE,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.942618265899995 38.900794834),Marvin Gaye Park 4200 BLK HUNT PLACE NE,7,Ulmus pumila,Siberian elm,,,Good,Ulmaceae,Ulmus
POINT (-76.942642086 38.900763886900002),Marvin Gaye Park 4200 BLK HUNT PLACE NE,7,Robinia pseudoacacia,Black locust,,,Dead,Fabaceae,Robinia
POINT (-77.016781743500005 38.908310899900002),400 BLK O  ST NW,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.016841496300003 38.908350274199996),400 BLK O  ST NW,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.016690300400001 38.90830851),400 BLK O  ST NW,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.016279419499995 38.907985462900001),400 Blk O St NW,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.016337945199993 38.907983563599998),400 Blk O ST NW ,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.016713454500007 38.907985462900001),400 Blk O ST NW ,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.016563492200007 38.908023418200003),400 Blk O ST NW ,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.016614695599998 38.908052826499997),400 Blk O ST NW ,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.016695175199999 38.908229776799999),400 BLK O  ST NW,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.0334973633 38.912570269500002),1428 R ST NW,2,Tilia species,Linden,,,Good,Tiliaceae,Tilia
POINT (-77.016847571699998 38.908116897500001),400 BLK O  ST NW,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.017755858 38.906408241100003),446 RIDGE ST NW,2,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-76.950102606499996 38.889240259899999),3900 blk B ST SE median,7,Taxodium distichum,Bald cypress,,,Excellent,Cupressaceae,Taxodium
POINT (-77.000923729099995 38.891414314899997),112 4th Street NE  (backyard),6,Styphnolobium japonicum,Japanese pagodatree,,,Fair,Fabaceae,Styphnolobium
POINT (-77.018732949699995 38.91356748),400 blk of RHODE ISLAND AVE NW,2,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.939484859 38.898839796899999),OPP 4334 GAULT PL NE,7,Quercus rubra,Red oak,Hypoxylon,,Dead,Fagaceae,Quercus
POINT (-76.942413579700002 38.901050817200002),Marvin Gaye Park 4200 BLK HUNT PLACE NE,7,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.030817281799997 38.984762361900003),1323 KALMIA RD NW,4,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.074111352700001 38.913926351699999),1700 blk 38TH ST NW,2,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-76.942307213399999 38.900945456700001),Marvin Gaye Park 4200 BLK HUNT PLACE NE,7,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.942307129599996 38.9008986857),Marvin Gaye Park 4200 BLK HUNT PLACE NE,7,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
