POINT (-76.990915647400001 38.895625814299997),1100 blk E St NE (in park),6,Juniperus virginiana,Other (See Notes),,,Fair,,
POINT (-76.944832117700003 38.867471767799998),1711 41ST PL SE,7,Prunus species,Cherry,,,Good,Rosaceae,Prunus
POINT (-76.984903612099998 38.924751255799997),1401 RHODE ISLAND AVE NE,5,Quercus phellos,Willow oak,,,Fair,Fagaceae,Quercus
POINT (-76.978156856300004 38.907927220099999),1300 blk BLADENSBURG RD NE,5,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.0326284816 38.958309870900003),1352 MADISON ST NW,4,Acer species,Maple,,,Fair,Aceraceae,Acer
POINT (-77.008076417300003 38.850251593400003),2900 SOUTH CAPITOL ST BN,8,Prunus species,Cherry,,,Fair,Rosaceae,Prunus
POINT (-77.029787368200004 38.943591290900002),4300 13TH ST NW,4,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-76.987499602400007 38.834161572200003),1256 BARNABY TER SE,8,,,,,,Rosaceae,Pyrus
POINT (-77.022251673699998 38.9632873455),633 POWHATAN PL NW,4,Magnolia virginiana,Sweetbay magnolia,,,Fair,Magnoliaceae,Magnolia
POINT (-77.036328370800007 38.949332175),4825 16TH ST NW,4,Quercus bicolor,Swamp white oak,,,Good,Fagaceae,Quercus
POINT (-76.929936752299994 38.8773267312),848 51ST ST SE,7,Tilia cordata,Littleleaf linden,,,Fair,Tiliaceae,Tilia
POINT (-77.007493551099998 38.9427125733),HAREWOOD TRIANGLE NE,5,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-76.920753230599999 38.887348529500002),5600 BLK AYERS PL SE,7,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-77.037278290200007 38.9087533171),1600 BLK O ST NW,2,Liquidambar Stryaciflua 'Sterile',Sweetgum (sterile),,,Good,Hamamelidaceae,Liquidambar
POINT (-76.986671314800006 38.879065465799997),OPP 1343 IVES PL SE,6,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-77.060649319800007 38.919551532699998),3005 MASSACHUSETTS AVE NW,3,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-76.995796432899994 38.932292582199999),0 MONROE ST NE,5,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-76.997340270199999 38.893632788200001),624 C ST NE,6,Acer saccharinum,Silver maple,,,Good,Aceraceae,Acer
POINT (-77.00037095 38.960332059800002),524 NICHOLSON ST NE,4,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.032377960600002 38.971828584699999),6722 14TH PL NW,4,,,,,,,
POINT (-76.945912674699997 38.892732157700003),4038 CLAY PL NE,7,,Crape myrtle,,,,Fabaceae,Gleditsia
POINT (-77.025392761199996 38.975863009400001),opp 814 DAHLIA ST NW,4,,Norway maple,,,Good,Aceraceae,Acer
POINT (-77.0467513806 38.940854662299998),1981 upshur st nw,4,Acer rubrum,Red maple,,,Excellent,Aceraceae,Acer
POINT (-77.065321319399999 38.932168105099997),3108 33RD PL NW,3,Cornus florida,Flowering Dogwood,,,Dead,Cornaceae,Cornus
POINT (-76.997105437599998 38.898876420400001),OPP 646 G ST NE,6,Celtis occidentalis,,,,Excellent,Tiliaceae,Tilia
POINT (-77.102000066800002 38.924112340599997),5061 SHERIER PL NW,3,Acer rubrum,Red maple,,,Excellent,Aceraceae,Acer
POINT (-77.080806339299997 38.922299663899999),2400 41ST ST NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.031204979099996 38.943640583700002),4306 ARKANSAS AVE NW,4,Quercus alba,Other (See Notes),,,Good,,
POINT (-77.026967216 38.920337874),opp 2250 11TH ST NW,1,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.063848763099998 38.976828038500003),3286 ARCADIA PL NW,4,Prunus virginiana,Chokecherry,,,Good,Rosaceae,Prunus
POINT (-77.036531165400007 38.942445056700002),4214 16TH ST NW,4,Tilia species,Linden,,,Good,Tiliaceae,Tilia
POINT (-77.008280770200003 38.8850154637),17 D ST SE,6,Liquidambar rotundiloba,Rotundiloba sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-77.021968967 38.950515464),4921 7TH ST NW,4,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
