POINT (-77.003440470800001 38.912927077200003),1705 2ND ST NE,5,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-77.020266525899999 38.907209693799999),600 N ST NW,2,Acer saccharum,Sugar maple,,,Poor,Aceraceae,Acer
POINT (-77.025262915400006 38.9147901077),936 WESTMINSTER ST NW,1,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.034592412899997 38.945888128500002),4520 15TH ST NW,4,Nyssa sylvatica,Tupelo,,,Good,Nyssaceae,Nyssa
POINT (-76.974409476 38.851003178699997),2118 ALABAMA AVE SE,8,Quercus acutissima,Sawtooth oak,,,Good,Fagaceae,Quercus
POINT (-76.972168955900003 38.897905815199998),500 BLK 24TH ST NE,7,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.074689576599994 38.926950724900003),2818 38TH ST NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.050236390199998 38.898191696600001),616 23RD ST NW,2,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-76.993693464200007 38.894041022499998),313 9TH ST NE,6,Prunus species,Cherry,,,Good,Rosaceae,Prunus
POINT (-77.046963100100001 38.987369630099998),8000 PARKSIDE LN NW,4,Quercus palustris,Pin oak,,,Poor,Fagaceae,Quercus
POINT (-77.072959446300004 38.917504934900002),2026 37TH ST NW,3,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.007897729099994 38.9527107762),5110 FORT TOTTEN DR NE,5,Cotinus obovatus,American Smoketree,,,Excellent,,
POINT (-77.015818078799995 38.939956278099999),314 SHEPHERD ST NW,4,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-77.031531983299999 38.9331283243),1352 MERIDIAN PL NW,1,Ginkgo biloba (male),Ginkgo (male),,,Excellent,Ginkgoaceae,Ginkgo
POINT (-77.044698805400003 38.909719336400002),1900 blk P ST NW,2,Liquidambar rotundiloba,Rotundiloba sweetgum,,,Fair,Hamamelidaceae,Liquidambar
POINT (-77.002905776899993 38.922327989199999),213 CHANNING ST NE,5,Quercus coccinea,Scarlet oak,,,Fair,Fagaceae,Quercus
POINT (-77.067914168900003 38.9093040634),1518 34TH ST NW,2,Liquidambar rotundiloba,Rotundiloba sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-77.023589894 38.911181102699999),815 Q ST NW,2,Platanus x acerifolia,London plane tree,,,Fair,Platanaceae,Platanus
POINT (-77.006370087799993 38.911176943199997),opp 101 Q ST NE,5,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-77.068628220299999 38.912741814299999),3417 RESERVOIR RD NW,2,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.020570405200004 38.9125620274),612 R ST NW,2,Tilia cordata,Littleleaf linden,,,Fair,Tiliaceae,Tilia
POINT (-76.993946364 38.910098129),1401 BRENTWOOD PKWY NE,2,Quercus coccinea,Scarlet oak,,,Good,Fagaceae,Quercus
POINT (-77.060380529200003 38.911963679400003),3029 DENT PL NW,2,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-76.959749500100003 38.925785268399999),3400 BLK FORT LINCOLN DR NE,5,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-76.976099740899997 38.935057990200001),2005 OTIS ST NE,5,Prunus species,Cherry,,,Good,Rosaceae,Prunus
POINT (-76.974324147399997 38.894708073499999),OPP 202 OKLAHOMA AVE NE,7,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.096313897499996 38.9456332257),4849 MASSACHUSETTS AVE NW,3,Quercus macrocarpa,Bur oak,,,Good,Fagaceae,Quercus
POINT (-77.013744802 38.957746547100001),"Kansas Ave., between Longfellow & 2nd Sts., NW",4,,,,,,,
POINT (-76.953527068200003 38.864076861),2012 37TH ST SE,7,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-76.978129197399994 38.852243140299997),Douglass Rec Ctr. (Ft. Stanton Park to St. Elizab*,8,,,,,,,
POINT (-76.961418585600001 38.864316011),2106 32ND ST SE,7,Acer saccharum,Sugar maple,,,Fair,Aceraceae,Acer
POINT (-76.966804786 38.862836361799999),2904 FORT BAKER DR SE,7,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-77.060065807399994 38.9126232805),3022 R ST NW,2,Ginkgo biloba (male),Ginkgo (male),,,Good,Ginkgoaceae,Ginkgo
POINT (-76.932958521900005 38.874421666899998),0 SOUTHERN AVE SE,7,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.978436816599995 38.865491435400003),1835 GOOD HOPE RD SE,8,Ulmus americana,American elm,,,Poor,Ulmaceae,Ulmus
POINT (-76.987730122499997 38.8604108583),1401 BANGOR ST SE,8,Celtis occidentalis,Hackberry,,,Fair,Ulmaceae,Celtis
POINT (-77.096708423 38.918907491200002),2119 49TH ST NW,3,Quercus phellos,Willow oak,,,Excellent,Nyssaceae,Nyssa
POINT (-77.045633521599996 38.9023749005),2020 K ST NW,2,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.013572400399994 38.892883166600001),200 BLOCK 2ND ST NW,6,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-77.021174080199998 38.951031529399998),631 FARRAGUT ST NW,4,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-77.058219413499998 38.925283172100002),2833 29TH PL NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.088696978900003 38.927405245),4800 BLK  45TH ST NW/SIDE OF 4500 GARFIELD,3,Populus species,Poplar,,,Poor,Salicaceae,Populus
POINT (-77.021129630900006 38.949854342899997),608 EMERSON ST NW,4,Lagerstroemia indica,Crape myrtle,,,Excellent,Aceraceae,Acer
POINT (-76.932697086800005 38.887179900600003),139 49TH ST SE,7,Liquidambar rotundiloba,Rotundiloba sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-76.992923604400005 38.888639993699996),925 NORTH CAROLINA AVE SE,6,Ulmus americana,American elm,,,Fair,Ulmaceae,Ulmus
POINT (-77.016492702799994 38.950100154600001),315 EMERSON ST NW,4,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Good,Rosaceae,Prunus
POINT (-76.995183085799994 38.887898627399998),722 NORTH CAROLINA AVE SE,6,Ulmus americana,American elm,,,Fair,Ulmaceae,Ulmus
POINT (-76.979735614399999 38.919381953699997),1600 blk W ST NE,5,,,,,,,
POINT (-77.016172572399995 38.950109348200002),opp 306 EMERSON ST NW,4,Acer platanoides,Norway maple,,,Poor,Aceraceae,Acer
POINT (-76.939347351400002 38.880827394199997),4700 BLK ALABAMA AVE SE,7,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.976173970700003 38.929883434700002),3109 20TH ST NE,5,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.081616684099998 38.924079934300003),26157 42ND ST NW,3,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.011917592299994 38.830113787),80 BRANDYWINE PL SW,8,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.037837971399995 38.987212817699998),1635 MYRTLE ST NW,4,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-76.978163174599999 38.8498479852),1857 TUBMAN RD SE,8,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-76.975540778300001 38.9406796082),2009 TAYLOR ST NE,5,Cercis canadensis,Eastern redbud,,,Good,Fabaceae,Cercis
POINT (-76.951537374599994 38.869966042100003),3705 CARPENTER ST SE,7,Prunus species,Cherry,,,Good,Rosaceae,Prunus
POINT (-76.989176038799997 38.898866139500001),1231 G ST NE,6,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-76.928426335200001 38.895949511600001),5021 FITCH PL NE,7,Cercis canadensis,Eastern redbud,,,Good,Fabaceae,Cercis
POINT (-76.931982908699993 38.895756004600003),503 49TH PL NE,7,Celtis occidentalis,Hackberry,,,Fair,Ulmaceae,Celtis
POINT (-77.035900865599999 38.914151003500002),1500 BLOCK S ST NW,2,Gleditsia triacanthos var. inermis 'Skyline',Skyline honeylocust,,,Excellent,Fabaceae,Gleditsia
