xy,address,ward,scientific_name,common_name,disease,pests,condition,fam_name,genus_name
POINT (-76.985383735400006 38.834433148),4100 BLK 13TH ST SE,8,Koelreuteria paniculata,Goldenrain tree,,,Fair,Sapindaceae,Koelreuteria
POINT (-76.985320928199997 38.834365579100002),4100 BLK 13TH ST SE,8,Koelreuteria bipinnata,Chinese flame tree,,,Good,Sapindaceae,Koelreuteria
POINT (-76.981195024200005 38.850824769200003),opp 1513 BRUCE PL SE,8,Lagerstroemia indica,Crape myrtle,,,Good,Lythraceae,Lagerstroemia
POINT (-76.981692087100001 38.850860183899997),opp 1507 BRUCE PL SE,8,Lagerstroemia indica,Crape myrtle,,,Good,Lythraceae,Lagerstroemia
POINT (-77.0094995165 38.902605700300001),unit block of K ST NW,6,Quercus lyrata,Overcup oak,,,Good,Fagaceae,Quercus
POINT (-77.001773269500006 38.885041709900001),opp 300 NORTH CAROLINA AVE SE,6,Quercus bicolor,Swamp white oak,,,Good,Fagaceae,Quercus
POINT (-77.046823580600005 38.914788628499998),2108 BANCROFT PL NW,2,Aesculus hippocastanum,Horsechestnut,,,Fair,Hippocastanaceae,Aescululs
POINT (-76.990159203199994 38.9403625263),4107 12TH ST NE/Shepherd St,5,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.071891735400001 38.922499448899998),3600 BLK CALVERT ST NW,3,Platanus x acerifolia 'Bloodgood',Bloodgood london plane tree,,,Excellent,Platanaceae,Platanus
POINT (-77.027154885499996 38.906082344600001),1220 11TH ST NW,2,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.110075094199999 38.935687781399999),5264 Loughboro Rd. NW,3,Prunus species,Cherry,,,Excellent,Rosaceae,Prunus
POINT (-77.052539996899995 38.914758392),1815 24TH ST NW,2,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-76.974119528800003 38.9344110758),3605 22ND ST NE,5,Ulmus americana 'Jefferson',Jefferson Elm,,,Good,Ulmaceae,Ulmus
POINT (-77.0070612098 38.902600561900002),90 K ST NE,6,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-77.002308110499996 38.954561520200002),5450 3RD ST NE,5,,,,,,,
POINT (-77.024600753100003 38.959935847399997),opp 812 MISSOURI AVE NW,4,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.959803775200001 38.891344943599996),3300 BLK ALDEN PL NE,7,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-76.929035569600003 38.879336546399998),5127 HANNA PL SE,7,Lagerstroemia indica,Crape myrtle,,,Good,Lythraceae,Lagerstroemia
POINT (-76.928739808700001 38.879316106700003),5139 HANNA PL SE,7,Koelreuteria paniculata,Goldenrain tree,,,Good,Sapindaceae,Koelreuteria
POINT (-76.932999005200003 38.8786021007),4647 H ST SE,7,Syringa reticulata,Lilac,,,Fair,Oleaceae,Syringa
POINT (-77.075307792299995 38.947856097900001),3806 ALBEMARLE ST NW,3,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.017328562700001 38.881226954299997),300 BLK G ST SW,6,Liquidambar rotundiloba,Rotundiloba sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-77.062071055499999 38.963623136800003),5519 30TH PL NW,4,Cercis species,Redbud,,,Good,Fabaceae,Cercis
POINT (-77.041363368600003 38.987830036799998),1748 PORTAL DR NW,4,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
