xy,address,ward,scientific_name,common_name,disease,pests,condition,fam_name,genus_name
POINT (-77.065172067199995 38.970998052299997),6136 32ND PL NW,4,,,,,,,
POINT (-76.978893451900007 38.9397067799),1820 SHEPHERD ST NE,5,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-76.983351832099999 38.919941461800001),1389 Adams St NE/Downing Pl,5,Lagerstroemia indica,Crape myrtle,,,Good,Lythraceae,Lagerstroemia
POINT (-76.986062624799999 38.908754308299997),1670 MONTELLO AVE NE,5,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-77.074673986500002 38.942646343100002),4108 38TH ST NW,3,Tilia americana,American linden,,,Fair,Tiliaceae,Tilia
POINT (-76.958036395400001 38.885172905899999),3345 DUBOIS PL SE,7,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.966808170899995 38.871615179300001),1500 BLK 28TH PL SE,7,,,,,,Fabaceae,Cercis
POINT (-76.978606059100002 38.932081792),1809 LAWRENCE ST NE,5,Acer buergeranum,Trident maple,,,Good,Aceraceae,Acer
POINT (-76.978920576099995 38.927492234399999),2900blk 18TH ST NE,5,Ulmus americana,American elm,,,Dead,Ulmaceae,Ulmus
POINT (-77.068520788300006 38.938201977699997),3435 QUEBEC ST NW,3,,,,,,,
POINT (-77.057704235599999 38.927721163100003),opp 2851 29TH ST NW,3,Gleditsia triacanthos var. inermis 'Shademaster',Shademaster honeylocust,,,Excellent,Fabaceae,Gleditsia
POINT (-77.021322663299998 38.924263632500001),2455 6TH ST NW,1,Chionanthus retusus,Chinese Fringetree,,,Excellent,Oleaceae,Chionanthus
POINT (-76.976290146300002 38.938181091700002),3926 20TH ST NE/Quincy,5,Magnolia virginiana,Sweetbay magnolia,,,Good,Magnoliaceae,Magnolia
POINT (-77.058485292699999 38.935286528299997),3432 CONNECTICUT AVE NW,3,Quercus rubra,Red oak,,,Fair,Fagaceae,Quercus
POINT (-77.030090340399994 38.960425856299999),1300 NICHOLSON STREET NW,4,,,,,,,
POINT (-77.030200016099997 38.908474510600001),1339 VERMONT AVE NW,2,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-76.990323338 38.883654755499997),415 12TH ST SE,6,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.000945158299999 38.960634089499997),5801 5TH ST NE,4,Ulmus americana 'Princeton',Princeton elm,,,Excellent,Ulmaceae,Ulmus
POINT (-77.023571018799998 38.966684277299997),728 SOMERSET PL NW,4,Cornus kousa,Dogwood (Kousa),,,Excellent,Cornaceae,Cornus
POINT (-77.027797446799994 38.923814571900003),1123 EUCLID ST NW,1,Quercus coccinea,Scarlet oak,,,Fair,Fagaceae,Quercus
