POINT (-77.055023852299996 38.949904299700002),2750 BRANDYWINE ST NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.044094065199999 38.922388675900002),1835 BILTMORE ST NW,1,Gymnocladus dioicus,Kentucky coffeetree,,,Excellent,Fabaceae,Gymnocladus
POINT (-77.045953551899999 38.9104398112),2020 MASSACHUSETTS AVE NW,2,Fraxinus species,Ash,,,Good,Oleaceae,Fraxinus
POINT (-77.047072193 38.9132453048),2118 FLORIDA AVE NW,2,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-77.058354841799996 38.925741419700003),OPP 2849 29TH PL NW,3,Acer saccharum,Sugar maple,,,Fair,Aceraceae,Acer
POINT (-76.991533937400007 38.926551385700002),1028 GIRARD ST NE/10th St,5,Platanus x acerifolia,London plane tree,,,Excellent,Platanaceae,Platanus
POINT (-77.012105671100002 38.865236149700003),1900 blk 1ST ST SW,6,Zelkova serrata 'Green Vase',Green Vase Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.014307156100003 38.879364174800003),opp 224 I ST SW,6,Quercus palustris,Pin oak,,,Poor,Fagaceae,Quercus
POINT (-77.014798070300003 38.881231845800002),266 G ST SW,6,Nyssa sylvatica,Tupelo,,,Excellent,Nyssaceae,Nyssa
POINT (-77.013025471299997 38.881228921199998),200 BLK G ST SW,6,Cladrastis lutea,Yellowwood,,,Good,Fabaceae,Cladrastis
POINT (-76.9776873669 38.8491950234),1852 ALABAMA AVE SE,8,Quercus acutissima,Sawtooth oak,,,Good,Fagaceae,Quercus
POINT (-77.000668353899997 38.845021141099998),OPP 260 MALCOLM X AVE SE,8,,,,,,,
POINT (-77.015083947199997 38.9001610523),200 BLK H ST NW,6,Koelreuteria paniculata,Goldenrain tree,,,Poor,Sapindaceae,Koelreuteria
POINT (-77.076767760799996 38.943124389799998),3826 VAN NESS ST NW,3,Carpinus caroliniana,Ironwood,,,Excellent,Betulaceae,Carpinus
POINT (-77.085197874599999 38.912294909899998),1600 blk FOXHALL RD NW,3,Cercis canadensis,Eastern redbud,,,Excellent,Fabaceae,Cercis
POINT (-77.007544757399998 38.917048783200002),42 U ST NE,5,Platanus species,Plane tree,,,Good,Platanaceae,Platanus
POINT (-76.950630373500005 38.907416749600003),3539 JAY ST NE,7,Tilia americana,American linden,,,Excellent,Hamamelidaceae,Liquidambar
