POINT (-77.095614730899996 38.950169865399999),4608 ASBURY PL NW,3,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-76.930154545400001 38.904206234699998),1014 50th PL NE,7,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.930158435799996 38.904133619),1014 50th Pl NE,7,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.930205537600003 38.904136631500002),,7,Liquidambar styraciflua,Sweetgum,,,Fair,Hamamelidaceae,Liquidambar
POINT (-76.996102581100004 38.929953312099997),3209 7TH ST NE,5,,,,,,,
POINT (-76.930219588400007 38.904088891),1012 50th PL NE,7,Populus species,Poplar,,,Fair,Salicaceae,Populus
POINT (-76.988023415499995 38.882785655299998),1300 blk E ST SE,6,Gleditsia triacanthos var. inermis 'Skyline',Skyline honeylocust,,,Good,Fabaceae,Gleditsia
POINT (-77.072518126700004 38.955670391200002),5116 CHEVY CHASE PKWY NW,3,Syringa reticulata,Lilac,,,Good,Oleaceae,Syringa
POINT (-76.986044868600004 38.929533705899999),3109 14TH ST NE/Jackson St,5,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.020312009700007 38.881219476600002),608 G ST SW,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.961560942399998 38.860714742299997),2325 32ND ST SE,7,Gleditsia triacanthos var. inermis 'Skyline',Skyline honeylocust,,,Good,Fabaceae,Gleditsia
POINT (-76.952692527300002 38.860647680699998),3714 CAMDEN ST SE,7,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-76.99257284 38.9544723558),1005 HAMILTON ST NE/8th St,5,Acer platanoides,Norway maple,,,Fair,Aceraceae,Acer
POINT (-77.017078224900004 38.969889525600003),300 VAN BUREN ST NW,4,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-77.017507782300001 38.951164859400002),5005 4TH ST NW,4,,,,,Good,,
POINT (-77.027416827899998 38.911077056899998),1106 Q ST NW,2,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-77.001879343499994 38.822812752300003),4644 LIVINGSTON RD SE,8,Ulmus americana,American elm,,,Dead,Ulmaceae,Ulmus
POINT (-77.034781894600002 38.930550257599997),3227 HIATT PL NW,1,Ginkgo biloba (female),Ginkgo (female),,,Good,Ginkgoaceae,Ginkgo
POINT (-77.027994092599997 38.897959911400001),615 12TH ST NW,2,Ginkgo biloba (male),Ginkgo (male),,,Good,Ginkgoaceae,Ginkgo
POINT (-77.0687000864 38.927283984399999),2818 35TH ST NW,3,Acer saccharum,Sugar maple,,,Excellent,Aceraceae,Acer
POINT (-77.000319340600001 38.885780008499999),400 block NORTH CAROLINA AVE SE,6,Ulmus species,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.001985111 38.885823425700003),304 3RD ST SE,6,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.011670011299998 38.956897347400002),5510 1ST ST NW,4,,,,,Good,,
POINT (-77.015530061899995 38.943576363600002),4310 3RD ST NW,4,,,,,Good,,
POINT (-77.015971285899994 38.895101344099999),417 4TH ST NW,6,,,,,,,
POINT (-77.0313606988 38.945710641799998),4519 ARKANSAS AVE NW,4,Ulmus americana,American elm,,,Fair,Ulmaceae,Ulmus
POINT (-77.053540032200004 38.961461429300002),2607 MILITARY RD NW,4,Quercus palustris,Pin oak,Hypoxylon,,Dead,Fagaceae,Quercus
POINT (-77.032926319400005 38.979445550400001),1365 GERANIUM ST NW,4,Quercus bicolor,Swamp white oak,,,Good,Fagaceae,Quercus
POINT (-77.029872397199995 38.9530287344),1307 HAMILTON ST NW,4,,,,,,,
POINT (-77.0757306438 38.944742431599998),3814 Warren st nw ,3,Quercus rubra,Red oak,,,Fair,Fagaceae,Quercus
POINT (-77.012326627500002 38.895900123700002),0 1ST ST NW,6,,,,,,,
POINT (-76.977341956399997 38.883382910900004),400 BLK 19TH ST SE,6,Zelkova serrata,Japanese zelkova,,,Fair,Ulmaceae,Zelkova
POINT (-76.925924572300005 38.889410986199998),44 53RD ST SE,7,Liquidambar rotundiloba,Rotundiloba sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-77.080370555499996 38.954178835599997),4914 41ST ST NW,3,Pyrus calleryana 'Bradford',Bradford callery pear,,,Good,Rosaceae,Pyrus
POINT (-77.080370482099994 38.954113756200002),4914 41ST ST NW,3,Prunus yedoensis,Yoshino cherry,,,Good,Rosaceae,Prunus
POINT (-76.936884738499998 38.898315283499997),4489 GRANT ST NE,7,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-77.033523975500003 38.9625604318),5940 14TH ST NW,4,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Good,Rosaceae,Prunus
POINT (-77.041206736099994 38.946492803600002),4613  BLAGDEN AVE NW,4,Cercis species,Redbud,,,Fair,Fabaceae,Cercis
POINT (-77.071376952799994 38.966991287900001),5812 NEVADA AVE NW,3,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-77.021363448700001 38.970124375300003),6611 6TH ST NW,4,,,,,Good,,
POINT (-76.9217268437 38.886455117499999),5504 CENTRAL AVE SE,7,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.007154122 38.8211120036),4766 SOUTH CAPITOL TER SW,8,Gleditsia triacanthos var. inermis 'Shademaster',Shademaster honeylocust,,,Good,Fabaceae,Gleditsia
POINT (-77.018968277900001 38.955360750399997),434 JEFFERSON ST NW,4,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-77.061989782699996 38.9282253501),3104 HAWTHORNE  ST NW,3,Prunus Okame,Okame cherry,,,Excellent,Rosaceae,Prunus
POINT (-77.007155840600007 38.821911718899997),4734 SOUTH CAPITOL TER SW,8,Quercus bicolor,Swamp white oak,,,Good,Fagaceae,Quercus
POINT (-77.063626025700003 38.971922268500002),OPP 6211 UTAH AVE NW,4,Quercus rubra,Red oak,,,Fair,Fagaceae,Quercus
POINT (-77.046663685699997 38.914789420600002),2100 BANCROFT PL NW,2,Prunus species,Cherry,,,Good,Rosaceae,Prunus
POINT (-77.029762797199993 38.967019916),6336 13TH ST NW,4,,,,,,,
POINT (-77.015925897299994 38.895004928200002),0 4TH ST NW,6,,,,,,,
POINT (-76.989402253199998 38.912071683299999),OPP 1000 MOUNT OLIVET RD NE,5,Celtis occidentalis,Hackberry,,,Good,Ulmaceae,Celtis
POINT (-77.0217777063 38.884393401200001),400 7TH ST SW,2,Quercus species,Oak,,,Good,Fagaceae,Quercus
POINT (-77.021788478199994 38.883684478),400 7TH ST SW,6,Quercus species,Oak,,,Good,Fagaceae,Quercus
POINT (-76.9880730828 38.837304498100004),3900 BLK 13TH ST SE,8,Magnolia virginiana,Sweetbay magnolia,,,Good,Magnoliaceae,Magnolia
POINT (-76.9881390563 38.837414182700002),3900 BLK 13TH ST SE,8,Magnolia virginiana,Sweetbay magnolia,,,Good,Magnoliaceae,Magnolia
POINT (-76.9881093682 38.837365147200003),3900 BLK 13TH ST SE,8,Magnolia virginiana,Sweetbay magnolia,,,Good,Magnoliaceae,Magnolia
POINT (-76.987967520799998 38.837158035100003),3900 BLK 13TH ST SE,8,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Good,Rosaceae,Prunus
POINT (-76.987875153900006 38.837032863899999),3900 BLK 13TH ST SE,8,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Fair,Rosaceae,Prunus
POINT (-76.954975651200002 38.874646140800003),3442 N ST SE,7,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-76.979980064700001 38.845570363500002),1600 BLK SAVANNAH ST SE,8,Platanus occidentalis,American sycamore,,,Good,Platanaceae,Platanus
POINT (-77.033203739800001 38.913939484099998),1700 BLK JOHNSON AVE NW,2,Quercus species,Oak,,,Good,Fagaceae,Quercus
POINT (-76.978610686099998 38.847986838600001),1808 ALABAMA AVE SE,8,Quercus acutissima,Sawtooth oak,,,Good,Fagaceae,Quercus
POINT (-76.992707378600002 38.903593586299998),OPP 1035 10TH ST NE,6,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-76.999991116299995 38.892070270300003),414 CONSTITUTION AVE NE,6,Other (See Notes),Other (See Notes),,,Fair,Null,Other
POINT (-77.061906503 38.965096427699997),OPP 5605 30TH ST NW,4,Acer species,Maple,,,Good,Aceraceae,Acer
POINT (-76.941804160100006 38.897580278),4208 FOOTE ST NE,7,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.970202111 38.934652896099998),3612 26TH ST NE/Newton St,5,Acer pseudoplatanus,Sycamore maple,,,Good,Aceraceae,Acer
POINT (-76.986437634400005 38.8944679214),326 TENNESSEE AVE NE,6,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.975869360800004 38.8947398257),OPP 2004 D ST NE,7,Gleditsia triacanthos var. inermis 'Skyline',Skyline honeylocust,,,Good,Fabaceae,Gleditsia
POINT (-77.027559225299996 38.9036963904),1100 L ST NW,2,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-76.981349847199994 38.923403909599998),1579 DOUGLAS ST NE,5,,,,,,,
POINT (-76.990093409699995 38.895480314899999),1246 DUNCAN PL NE,6,,,,,,,
POINT (-77.030523236299999 38.939698815600003),1316 Shepherd St NW,4,,,,,,,
POINT (-76.917276371200003 38.895763355699998),5811 EADS ST NE,7,,,,,,,
POINT (-77.006334529399993 38.968110654),6419 KANSAS AVE NE,4,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
