xy,address,ward,scientific_name,common_name,disease,pests,condition,fam_name,genus_name
POINT (-76.996768984400006 38.8602105983),1231 SUMNER RD SE,8,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-76.982879496199999 38.921459063299999),2300 BLK 15TH ST NE,5,Pyrus calleryana 'Bradford',Bradford callery pear,,,Good,Rosaceae,Pyrus
POINT (-77.035912054199997 38.949696059399997),1500 BLK EMERSON ST NW,4,Carpinus caroliniana,Ironwood,,,Good,Betulaceae,Carpinus
POINT (-77.000376238200005 38.836566346),400 BLK MISSISSIPPI AVE SE,8,Prunus virginiana,Chokecherry,,,Excellent,,
POINT (-76.992559561700006 38.949276167199997),4942 S. DAKOTA AVE NE/11th St,5,Quercus phellos,Willow oak,,,Poor,Fagaceae,Quercus
POINT (-77.018518895 38.9193632231),OPP 420 W ST NW,1,Other (See Notes),Other (See Notes),,,Excellent,Null,Other
POINT (-77.011761083400003 38.952386057200002),100 BLK GALLATIN ST NW,4,Zelkova serrata,,,,Good,,
POINT (-76.973883855699995 38.8705721177),2217 NAYLOR RD SE,8,Quercus coccinea,Scarlet oak,,,Fair,Fagaceae,Quercus
POINT (-77.015241031599999 38.958610182500003),5600 blk 2ND PL NW,4,Nyssa sylvatica,Tupelo,,,Excellent,Nyssaceae,Nyssa
POINT (-77.032380423099994 38.957407888900001),5600 COLORADO AVE NW,4,Syringa reticulata,Lilac,,,Good,Oleaceae,Syringa
POINT (-77.025011911199996 38.957329492),820 LONGFELLOW ST NW,4,Malus species,Crabapple,,,Excellent,Rosaceae,Malus
POINT (-76.989870060699999 38.955963152400003),5207 EASTERN AVE NE,5,Prunus species,Cherry,,,Fair,Rosaceae,Prunus
POINT (-77.029792971 38.949433240700003),4800 BLK 13TH ST NW,4,Prunus yedoensis,Yoshino cherry,,,Dead,Rosaceae,Prunus
POINT (-77.027665235699999 38.948214610299999),1206 DECATUR ST NW,4,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.983385947 38.868817645),1449 RIDGE PL SE,8,Carpinus caroliniana,Ironwood,,,Good,Betulaceae,Carpinus
POINT (-77.065144410399995 38.905708313399998),1217 POTOMAC ST NW,2,Ginkgo biloba (male),Ginkgo (male),,,Good,Ginkgoaceae,Ginkgo
POINT (-77.071740393599995 38.960291314700001),3736 KANAWHA ST NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.0218224483 38.909986540299997),1500 BLK 7TH ST NW,6,Ulmus species,Elm,,,Good,Ulmaceae,Ulmus
POINT (-77.031113937599997 38.967622889899999),1333 TUCKERMAN ST NW,4,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.037262940600002 38.940856678899998),1605 TAYLOR ST NW,4,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.041215442099997 38.9421545167),4205 18TH ST NW,4,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.0172042688 38.942303946099997),4200 4TH ST NW,4,Malus species,Crabapple,,,Excellent,Rosaceae,Malus
POINT (-77.022042312599993 38.883984113099999),451 7TH ST SW,6,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.05427383 38.942977180500002),4120 LINNEAN AVE NW,3,Other (See Notes),Other (See Notes),,,Excellent,Null,Other
POINT (-77.071028158299995 38.9324985059),3600 LOWELL ST NW,3,Quercus phellos,Willow oak,,,Excellent,Fagaceae,Quercus
POINT (-76.974240166300007 38.934484721300002),opp 3605 22ND ST NE/Newton St,5,Halesia carolina,Carolina silverbell,,,Excellent,Styracaceae,Halesia
POINT (-77.043097906300005 38.934130721400003),OPP 1857 NEWTON ST NW,1,Platanus x acerifolia,London plane tree,,,Excellent,Platanaceae,Platanus
POINT (-76.959363740800001 38.864322813100003),2112 BRANCH AVE SE,7,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.999200245799997 38.837210319900002),500 BLK MISSISSIPPI AVE SE,8,Cercis canadensis,Redbud,,,Excellent,,
POINT (-77.084033413599997 38.957713109399997),5215 WISCONSIN AVE NW,3,Ulmus species,Elm,,,Fair,Ulmaceae,Ulmus
POINT (-76.970154836099994 38.897024924100002),558 OKLAHOMA AVE NE,7,Ulmus species,Elm,,,Good,Ulmaceae,Ulmus
POINT (-77.027821247800006 38.950769405199999),1200 blk FARRAGUT ST NW,4,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
POINT (-76.9408421901 38.886469780399999),4469 C ST SE,7,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.949384115900003 38.861807196500003),3820 SOUTHERN AVE SE,7,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-76.983565655099994 38.9223135684),OPP 1511 DOWNING ST NE,5,Cercis canadensis,Eastern redbud,,,Good,Fabaceae,Cercis
POINT (-77.006634562499997 38.918980399399999),2315 LINCOLN RD NE,5,Quercus macrocarpa,Bur oak,,,Good,Fagaceae,Quercus
POINT (-76.983062876399998 38.9215758769),2344 15TH ST NE,5,Cercis canadensis,Eastern redbud,,,Good,Fabaceae,Cercis
POINT (-77.040082189800003 38.921578736500003),2359 ONTARIO RD NW,1,Betula nigra,River birch,,,Excellent,Betulaceae,Betula
POINT (-76.962545606 38.868635648500003),3118 Westover Drive SE,7,Quercus coccinea,Scarlet oak,,,Good,Fagaceae,Quercus
POINT (-77.0775479526 38.938932202399997),3896 RODMAN ST NW,3,Liquidambar styraciflua,Sweetgum,,,Excellent,Hamamelidaceae,Liquidambar
POINT (-77.076532815700006 38.934993251400002),3800 NEWARK ST (NEWARK ST PARK),1,Acer buergeranum,Trident maple,,,Dead,Null,
POINT (-77.000654507799993 38.839207679399998),3401 4TH ST SE,8,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-77.026078796299998 38.923909031599997),1013 EUCLID ST NW,1,Quercus rubra,Red oak,,,Excellent,Fagaceae,Quercus
POINT (-77.010240642100001 38.957724304599999),25 LONGFELLOW ST NW,4,Lagerstroemia indica,Crape myrtle,,,Good,Lythraceae,Lagerstroemia
POINT (-77.011036101399995 38.878362909099998),0 K ST SW,6,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.0664416706 38.963343597),5504 33RD ST NW,4,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.017664295800003 38.875662390400002),1237 4TH ST SW,6,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-77.024400272700007 38.977481712),7203 8TH ST NW,4,Acer campestre,Hedge maple,,,Good,Aceraceae,Acer
POINT (-77.027308659699997 38.9126659868),1103 R ST NW,2,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-76.932737961200004 38.886182317799999),219 50TH STREET SE,7,,,,,,,
POINT (-76.991593043400002 38.901205978500002),834 11TH ST NE,6,Liquidambar Stryaciflua 'Sterile',Sweetgum (sterile),,,Good,Hamamelidaceae,Liquidambar
POINT (-77.013096691399994 38.901033269300001),800 BLOCK NEW JERSEY AVE NW,6,Zelkova serrata,Japanese zelkova,,,Fair,Ulmaceae,Zelkova
POINT (-76.9216930077 38.899705903799997),807 55TH ST NE,7,Other (See Notes),Other (See Notes),,,Excellent,Null,Other
POINT (-76.942481245500005 38.868752643299999),1422 42ND ST SE,7,Acer saccharinum,Silver maple,,,Fair,Aceraceae,Acer
POINT (-77.077359199499995 38.948033750299999),,3,,,,,,,
POINT (-76.927735544200004 38.901312006700003),843 50TH PL NE,7,Koelreuteria paniculata,Goldenrain tree,,,Excellent,Sapindaceae,Koelreuteria
POINT (-77.023622688399996 38.941202169599997),"Taylor St., between 8th and 9th Sts., NW",4,,,,,,,
POINT (-77.021860254700002 38.958656604200002),"Missouri Ave., between Madison Ave. & 7th Sts., NW",4,,,,,,,
POINT (-77.007603490299999 38.8264548816),OPP 4314 SOUTH CAPITOL ST BN,8,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.990637118099997 38.9407800436),1000 blk TAYLOR ST NE,5,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.977202479699997 38.944829814499997),4433 19TH PL NE/Webster St,5,Tilia cordata,Littleleaf linden,,,Fair,Tiliaceae,Tilia
POINT (-77.019833575099995 38.972242211599998),6700 blk 5TH ST NW,4,Quercus palustris 'Sovereign',Sovereign pin oak,,,Good,Fagaceae,Quercus
POINT (-77.022571045299998 38.912112235800002),700 blk RHODE ISLAND AVE NW/ MEDIAN,2,Prunus species,Cherry,,,Good,Rosaceae,Prunus
POINT (-77.012171256900004 38.971241116400002),122 WHITTIER ST NW,4,Chionanthus retusus,Chinese Fringetree,,,Excellent,Oleaceae,Chionanthus
POINT (-77.022387242899995 38.970291326199998),6607 7TH ST NW,4,,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.013329866500001 38.911077686900001),134 Q ST NW,5,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-77.003172773599999 38.961975998699998),237 ONEIDA ST NE,4,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-77.054058049299996 38.9265864491),2614 GARFIELD ST NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.002411150699999 38.9638246795),320 QUACKENBOS ST NE,4,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-76.993826197800004 38.893358716800002),252 9TH ST NE,6,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-76.959474106 38.864002911900002),2115 BRANCH AVE SE,7,Quercus phellos,Willow oak,,,Good,Fagaceae,Quercus
POINT (-76.980942434200003 38.930912683),3219 17TH ST NE/Jackson St,5,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.009243112799993 38.952359551800001),18 GALLATIN ST NW,4,Zelkova serrata,Japanese zelkova,,,Good,Ulmaceae,Zelkova
POINT (-76.939920297599997 38.889654349499999),OPP 4268 EAST CAPITOL ST SE,7,Celtis occidentalis,Hackberry,,,Good,Ulmaceae,Celtis
POINT (-77.001284682600001 38.898969107),320 G ST NE,6,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-77.017968912200004 38.9008950881),455 MASSACHUSETTS AVE NW,6,Tilia cordata,Littleleaf linden,,,Fair,Tiliaceae,Tilia
POINT (-77.074327221700003 38.960287296200001),3700 Blk KANAWHA ST NW,3,,,,,,,
POINT (-76.991982706499996 38.9024552116),1015 K ST NE,6,Quercus bicolor,Swamp white oak,,,Poor,Fagaceae,Quercus
POINT (-77.016266115400001 38.898729776300002),OPP 711 4TH ST NW,2,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-77.081972430199997 38.949205812700001),4545 42ND ST NW,3,,,,,,Aceraceae,Acer
POINT (-77.040767544299996 38.943962606699998),1740 WEBSTER ST NW,4,Prunus species,Cherry,,,Fair,Rosaceae,Prunus
POINT (-76.949799421700007 38.8624340872),2129 SUITLAND TER SE,7,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Good,Rosaceae,Prunus
POINT (-77.039783949 38.942999930100001),1719 VARNUM ST NW,4,Prunus 'Snow Goose',Cherry (Snowgoose),,,Good,Rosaceae,Prunus
POINT (-77.004254939600003 38.885128934900003),140 D ST SE,6,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-77.025171576199995 38.976576440700001),800 blk DOGWOOD ST NW,4,Cercis species,Redbud,,,Good,Fabaceae,Cercis
POINT (-76.990326297099998 38.899024872),700 12TH ST NE,6,Acer platanoides,Norway maple,,,Good,Aceraceae,Acer
POINT (-76.912504578400004 38.895386922),407 EASTERN AVE NE,7,Quercus acutissima,Sawtooth oak,,,Good,Fagaceae,Quercus
POINT (-76.977963322299999 38.887660468699998),1826 INDEPENDENCE AVE SE,6,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.035621437700001 38.917859673199999),2039 NEW HAMPSHIRE AVE NW,1,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.098700221499996 38.944008609299999),4226 50TH ST NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.034647066900007 38.916388229699997),1920 15TH ST NW,2,Quercus acutissima,Sawtooth oak,,,Fair,Fagaceae,Quercus
POINT (-76.974345555499994 38.917430450600001),2100 NEW YORK AVE NE,5,Ulmus parvifolia,Chinese elm,,,Good,Ulmaceae,Ulmus
