POINT (-77.045072535700001 38.911922243900001),2000 BLK HILLYER PL NW,2,,,,,,,
POINT (-77.10561277 38.924984662299998),,3,Other (See Notes),Other (See Notes),,,Fair,Null,Other
POINT (-77.104952946599994 38.925777594800003),,3,Other (See Notes),Other (See Notes),,,Excellent,Null,Other
POINT (-77.013960063200003 38.899598965400003),0 INTERSTATE 395   BN,6,Ginkgo biloba,Ginkgo,,,Excellent,Ginkgoaceae,Ginkgo
POINT (-77.104244843399997 38.924404564),,3,Other (See Notes),Other (See Notes),,,Excellent,Null,Other
POINT (-77.029500479500001 38.896909240100001),555 13TH ST NW,2,Ginkgo biloba (male),Ginkgo (male),,,Good,Ginkgoaceae,Ginkgo
POINT (-76.983246017 38.906323150799999),,5,Quercus phellos,Willow oak,,,Poor,Fagaceae,Quercus
POINT (-77.044571668 38.985230609399999),1821 PARKSIDE DR NW,4,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-76.983152139599994 38.906285580800002),,5,Other (See Notes),Other (See Notes),,,Excellent,Null,Other
POINT (-76.982870507599998 38.906218789500002),,5,Other (See Notes),Other (See Notes),,,Excellent,Null,Other
POINT (-76.982950974 38.906771902700001),,5,Other (See Notes),Other (See Notes),,,Excellent,Null,Other
POINT (-77.010717608700006 38.874988167799998),1257 HALF ST SW,6,,,,,,,
POINT (-76.960250972099999 38.856157067),2801 33RD ST SE,7,Prunus 'Snow Goose',Cherry (Snowgoose),,,Dead,Rosaceae,Prunus
POINT (-76.97396908899999 38.8874738329),2200 BLK INDEPENDENCE AVE SE,7,Quercus phellos,Willow oak,,,Excellent,Fagaceae,Quercus
POINT (-77.019798006599999 38.877974250599998),1000 6TH ST SW,6,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-76.973822270599996 38.887470157300001),2200 BLK INDEPENDENCE AVE SE,7,Acer saccharum,Sugar maple,,,Fair,Aceraceae,Acer
POINT (-77.042871960699998 38.927646113),OPP 1845 HARVARD ST NW,1,Cercis canadensis,Eastern redbud,,,Excellent,Fabaceae,Cercis
POINT (-76.972701513399997 38.873110034),2322 NICHOLSON ST SE,8,Prunus species,Cherry,,Borer,Fair,Rosaceae,Prunus
POINT (-77.008756726399994 38.914876390099998),UNIT BLK SEATON PL NE,5,Quercus palustris,Pin oak,,,Good,Fagaceae,Quercus
POINT (-76.951789392799995 38.865349569300001),3800 blk ALABAMA AVE SE,7,,American elm,,,,Ulmaceae,
POINT (-76.981147338100001 38.882035349399999),1641 POTOMAC AVE SE,6,Zelkova serrata,Japanese zelkova,,,Fair,Ulmaceae,Zelkova
POINT (-76.988881378800002 38.855247869099998),2400 BLK POMEROY RD SE,8,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
POINT (-77.093146683300006 38.938597198300002),3709 COREY PL NW,3,Liquidambar Stryaciflua 'Sterile',Sweetgum (sterile),,,Excellent,Hamamelidaceae,Liquidambar
POINT (-77.046923916099999 38.910774929900001),2100 BLK MASSACHUSETTS AVE NW,2,Tilia americana,American linden,,,Fair,Tiliaceae,Tilia
POINT (-77.008690846700006 38.9644719526),opp 6139 CHILLUM PL NE,4,Acer platanoides,Norway maple,,,Dead,Aceraceae,Acer
POINT (-77.002958442600004 38.8793579791),200 BLK I ST SE,6,Quercus rubra,Red oak,,,Good,Fagaceae,Quercus
POINT (-76.979694372599994 38.934773815500002),3627 18TH ST NE,5,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-77.094128241600004 38.952167418800002),4700 blk DAVENPORT ST NW,3,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-76.943772939699997 38.877867384399998),744 RIDGE RD SE,7,Platanus x acerifolia,London plane tree,,,Good,Platanaceae,Platanus
POINT (-77.085315974500006 38.926747211),4341 FOREST LN NW,3,Acer saccharum,Sugar maple,,,Excellent,Aceraceae,Acer
POINT (-76.963868105700001 38.8510626542),3072 30TH ST SE,8,Quercus bicolor,Swamp white oak,,,Good,Fagaceae,Quercus
POINT (-76.977252393499995 38.896852605399999), ROSEDALE ST NE,6,,,,,,Null,Other
POINT (-76.959719415799995 38.860541918400003),3300 BLK BANGOR ST SE,7,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Good,Rosaceae,Prunus
POINT (-76.9969027625 38.829156382699999),OPP 642 CHESAPEAKE ST SE,8,Celtis occidentalis,Hackberry,,,Good,Ulmaceae,Celtis
POINT (-76.94175067899999 38.901691002),4250 NANNIE HELEN BURROUGHS AVE NE,7,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
POINT (-76.94191850599999 38.901760052599997),4250 NANNIE HELEN BURROUGHS AVE NE,7,Ulmus americana,American elm,,,Good,Ulmaceae,Ulmus
