POINT (-76.981853992500007 38.898699844),700 16TH ST NE,6,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.075901782100004 38.928619163299999),2946 BELLEVUE TER NW,3,Quercus coccinea,Scarlet oak,,,Excellent,Fagaceae,Quercus
POINT (-77.076428875399998 38.932008478699998),3111 IDAHO AVE NW,3,Cercis species,Redbud,,,Good,Fabaceae,Cercis
POINT (-76.949243809600006 38.886699460499997),opp 3908 C ST SE,7,Lagerstroemia indica,Crape myrtle,,,Excellent,Anacardiaceae,Pistacia
POINT (-77.033631940199996 38.981398987399999),1401 HEMLOCK ST NW,4,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-76.995376188600005 38.955414741799999),5324 Chillum Pl NE,5,Liquidambar rotundiloba,,,,Excellent,,
POINT (-77.002753537800004 38.834169879699999),3800 BLK 2ND ST SE,8,Quercus acutissima,Sawtooth oak,,,Good,Fagaceae,Quercus
POINT (-77.063905676 38.975847402799999),3266 WORTHINGTON ST NW,4,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.004362326800006 38.885998380799997),137 C ST SE,6,Pistacia chinensis,Chinese pistachio,,,Good,Anacardiaceae,Pistacia
POINT (-77.087481348799997 38.9532812287),4430 ELLICOTT ST NW,3,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-76.958444755399995 38.869166897),3200 BLK O ST SE,7,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.087897122599998 38.932373869599999),4434 LOWELL ST NW,3,Prunus serrulata 'Kwanzan',Kwanzan cherry,,,Excellent,Rosaceae,Prunus
POINT (-77.0063870898 38.931007880599999),IRVING TRAFFIC CIRCLE SE,5,Longleaf pine Pinus palustris,Other (See Notes),,,Excellent,,
POINT (-76.973186141900001 38.860148324100003),2310 SKYLAND TER SE,8,Pyrus calleryana 'Bradford',Bradford callery pear,,,Good,Rosaceae,Pyrus
POINT (-76.9420943163 38.880074390399997),714 HILLTOP TER SE,7,Acer rubrum,Red maple,,,Fair,Aceraceae,Acer
POINT (-76.978934880200001 38.893853204899997),313 18TH ST NE,6,Platanus occidentalis,American sycamore,,,Good,Platanaceae,Platanus
POINT (-77.006491696 38.930784624899999),IRVING TRAFFIC CIRCLE SE,5,Longleaf pine Pinus palustris,Other (See Notes),,,Excellent,,
POINT (-77.041743495800006 38.909189270500001),1400 BLOCK 18TH ST NW,2,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-77.059871021700005 38.912685390299998),OPP 3016 R ST NW,2,Quercus bicolor,,,,Excellent,Ginkgoaceae,Ginkgo
POINT (-77.099920873599999 38.929970037300002),2951 ARIZONA AVE NW,3,Ulmus americana,American elm,,,Fair,Ulmaceae,Ulmus
