POINT (-76.999405580599998 38.957673752399998),5545 CHILLUM PL NE,4,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.932693215499995 38.890508473499999),OPP 4907 CENTRAL AVE NE,7,Lagerstroemia indica,Crape myrtle,,,Excellent,Null,Other
POINT (-77.057891853 38.930008074299998),2817 CORTLAND PL NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.061888748699999 38.974171465700003),6423 32ND ST NW,4,Other (See Notes),Other (See Notes),,,Good,Null,Other
POINT (-77.008278559100006 38.8965187712),0 E ST NE,6,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-76.981914572700006 38.886346917600001),1601 MASSACHUSETTS AVE SE,6,Tilia cordata,Littleleaf linden,,,Fair,Tiliaceae,Tilia
POINT (-77.0165129369 38.946478176399999),0 BUCHANAN ST NW,4,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-76.913598105299997 38.895379550800001),427 61ST ST NE,7,Tilia tomentosa,Silver linden,,,Good,Tiliaceae,Tilia
POINT (-77.010160488799997 38.870205706),Unit Blk Potomac Ave SW,6,,,,,,,
POINT (-77.010285246500004 38.870155758700001),Unit Blk Potomac Ave SW,6,,,,,,,
POINT (-77.010410003900006 38.870105810399998),Unit Blk Potomac Ave SW,6,,,,,,,
POINT (-77.022795813499997 38.8990035721),733 8TH ST NW,2,,,,,,Aceraceae,Acer
POINT (-77.010974856 38.869879692700003),Unit Blk Potomac Ave SW,6,,,,,,,
POINT (-77.011099571100004 38.869829761699997),Unit Blk Potomac Ave SW,6,,,,,,,
POINT (-77.051217251500006 38.905348890500001),2311 M ST NW,2,Acer species,Maple,,Scale,Fair,Aceraceae,Acer
POINT (-77.048745567099999 38.9043329235),1100 BLK 22 ST NW,2,Acer rubrum,,,,Dead,Aceraceae,Acer
POINT (-77.048430222799993 38.906407293299999),2100 BLK WARD PL NW,2,Acer rubrum,Red maple,BLS,,Poor,Aceraceae,Acer
POINT (-76.913735032700004 38.894002083),324 61ST ST NE,7,,,,,,Fagaceae,Quercus
POINT (-77.036393174099999 38.922412850500002),OPP 2460 16TH ST NW,1,Quercus robur fastigiata,Columnar English oak,,,Good,Fagaceae,Quercus
POINT (-76.967803192100007 38.931399047200003),3209 CENTRAL AVE NE,5,Catalpa bignonioides,Southern catalpa,,,Good,Bignoniaceae,Catalpa
POINT (-77.029627681199997 38.9576875208),5601 13TH ST NW,4,Quercus bicolor,Swamp white oak,,,Good,Fagaceae,Quercus
POINT (-77.066327182500004 38.928416842899999),2915 34TH ST NW,3,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.059847108200003 38.952854874),2907 ELLICOTT TER NW,3,Nyssa sylvatica,Tupelo,,,Excellent,Nyssaceae,Nyssa
POINT (-76.999580391500004 38.905441914400001),1100 BLOCK 5TH ST NE,6,Tilia cordata,Littleleaf linden,,,Good,Tiliaceae,Tilia
POINT (-77.010403856099998 38.870018366399997),Unit Blk Potomac Ave SW,6,,,,,,,
POINT (-77.010420002299995 38.870039670799997),Unit Blk Potomac Ave SW,6,,,,,,,
POINT (-77.010095088499995 38.870519122200001),Unit Blk Potomac Ave SW,6,,,,,,,
POINT (-77.010073276900002 38.870486015499999),Unit Blk Potomac Ave SW,6,,,,,,,
POINT (-77.010134088499996 38.870503509),Unit Blk Potomac Ave SW,6,,,,,,,
POINT (-77.022999094300005 38.942031159099997),700 BLK UPSHUR ST NW,4,Amelanchier species,Serviceberry,,,Good,Rosaceae,Amelanchier
POINT (-77.015108920900005 38.886483036599998),200 BLK 3RD ST SW,6,Quercus bicolor,Swamp white oak,,,Excellent,Fagaceae,Quercus
POINT (-76.957567383699995 38.893983246399998),312 34TH ST NE,7,Liquidambar rotundiloba,Rotundiloba sweetgum,,,Good,Hamamelidaceae,Liquidambar
POINT (-77.078119565099996 38.924591569100002),2629 39th St NW,3,Tilia americana,American linden,,,Excellent,Null,Other
POINT (-76.9747305729 38.870801663899996),OPP 2201 Q ST SE,8,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-76.980620754200004 38.931030600200003),OPP 1704 KEARNY ST NE,5,Celtis occidentalis,Hackberry,,,Excellent,Ulmaceae,Celtis
POINT (-76.996172361099994 38.855560337699998),2600 MARTIN LUTHER KING JR AVE SE,8,Quercus species,Oak,,,Good,Fagaceae,Quercus
POINT (-76.931301803899999 38.899775311600003),5002 HAYES ST NE,7,Acer rubrum,Red maple,,,Good,Aceraceae,Acer
POINT (-77.055755353500004 38.907621703300002),OPP 1326 27TH ST NW,2,Ginkgo biloba (male),Ginkgo (male),,,Good,Ginkgoaceae,Ginkgo
POINT (-76.965850371800002 38.868376705800003),1803 29TH ST SE,7,Amelanchier arborea,Downy serviceberry,,,Good,Rosaceae,Amelanchier
POINT (-76.977349547 38.921339968),1854 BRYANT ST NE,5,Acer saccharum,Sugar maple,,,Good,Aceraceae,Acer
POINT (-77.02974543099999 38.903526999299999),1000 BLK 13TH ST NW,2,Ginkgo biloba (male),Ginkgo (male),,,Fair,Ginkgoaceae,Ginkgo
POINT (-77.037573584300006 38.900286435600002),1615 H ST NW,2,Quercus palustris,Pin oak,,,Fair,Fagaceae,Quercus
