POINT (-77.002824318799995 38.940176610800002),4121 HAREWOOD RD NE,5,,,,,,,
POINT (-77.003073584399999 38.940442759500002),Harewood RD NE & Taylor St NE TRIANGLE,5,Crataegus oxyacantha superba 'Crimson Cloud',,,,,,
POINT (-77.003081892899999 38.940321627400003),4200 blk Harewood Rd NE,5,,,,,,,
POINT (-77.003035159299998 38.9402561506),4200 blk Harewood Rd NE,5,,,,,,,
POINT (-77.002835515900003 38.940246521900001),4121 HAREWOOD RD NE,5,,,,,,,
POINT (-77.002700191800002 38.939524330499999),opp 4250 HAREWOOD RD NE,5,,,,,,,
POINT (-77.002683916400002 38.939447269200002),opp 4250 HAREWOOD RD NE,5,,,,,,,
POINT (-77.002671706399994 38.939378940799998),opp 4250 HAREWOOD RD NE,5,,,,,,,
POINT (-77.026045255699998 38.934692129399998),3600 ROCK CREEK CHURCH RD NW,1,Tilia americana,American linden,,,Fair,Tiliaceae,Tilia
POINT (-76.982349732399996 38.890878628599999),1533 A ST NE,6,Cercis canadensis,Eastern redbud,,,Fair,,Cercis
POINT (-76.954238767299998 38.891488930900003),129 35TH ST NE,7,Lagerstroemia indica,Crape myrtle,,,Excellent,Anacardiaceae,Pistacia
POINT (-77.049151567199999 38.914649525900003),1801 23 ST NW (Mitchell Park),2,,,,,,,
POINT (-77.071632356099997 38.924750207400002),3609 EDMUNDS ST NW,3,,,,,,Fagaceae,Quercus
POINT (-76.940502109799993 38.869629389799996),4258 MASSACHUSETTS AVE SE,7,Nyssa sylvatica,Tupelo,,,Excellent,Nyssaceae,Nyssa
POINT (-77.023091191399999 38.880181256699998),801 7TH STREET SW (Jefferson Middle School),6,Gleditsia triacanthos var. inermis,Honeylocust,,,Good,,Gleditsia
POINT (-77.02317375299999 38.880173745900002),801 7TH STREET SW (Jefferson Middle School),6,Malus species,Crabapple,,,Fair,,Malus
POINT (-77.023228059299996 38.880192146399999),801 7TH STREET SW (Jefferson Middle School),6,Ulmus americana,American elm,,,Good,,Ulmus
POINT (-77.023309271399995 38.880183594400002),801 7TH STREET SW (Jefferson Middle School),6,Cercis canadensis,Eastern redbud,,,Good,,Cercis
POINT (-77.023280404399998 38.880188248800003),801 7TH STREET SW (Jefferson Middle School),6,Cercis canadensis,Eastern redbud,,,Good,,Cercis
