xy,address,ward,scientific_name,common_name,disease,pests,condition,fam_name,genus_name
POINT (-76.984460219799999 38.905688668099998),1523 Trinidad Ave NE ,,Other (See Notes),Other (See Notes),,,Excellent,,
POINT (-77.020812006400007 38.937672273499999),612 QUINCY ST NW,4,Koelreuteria bipinnata,Other (See Notes),,,Good,,
POINT (-77.008150848200003 38.834829372199998),OPP 3812 SOUTH CAPITOL ST BN,8,,,,,,,
POINT (-77.023014412699993 38.938407869899997),3802 NEW HAMPSHIRE AVE (TRIANGLE),4,Quercus palustris,Other (See Notes),,,Good,,
POINT (-76.949315207 38.886756428600002),3906 C ST SE,7,,,,,,,
POINT (-77.025253480700002 38.921246819300002),2300 blk sherman ave nw (median),1,Amelanchier arborea,Downy serviceberry,,,Excellent,Rosaceae,Amelanchier
POINT (-76.9396280518 38.902765389800003),4315 SHERIFF RD NE,7,Lagerstroemia indica,Crape myrtle,,,Poor,Lythraceae,Lagerstroemia
POINT (-77.003501108500004 38.901188956699997),900 2nd Blk st ne ,6,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-76.965708348600003 38.856802478799999),2710 29TH ST SE,7,Koelreuteria paniculata,Goldenrain tree,,,Excellent,Sapindaceae,Other
POINT (-76.939818784300002 38.902779537500003),4311 SHERIFF RD NE,7,Lagerstroemia indica,Crape myrtle,,,Good,Lythraceae,Lagerstroemia
POINT (-76.935329614799997 38.895019521199998),4651 EADS ST NE,7,Syringa reticulata,Lilac,,,Good,Oleaceae,Syringa
POINT (-77.065719802900006 38.950031683799999),FOREST HILLS PARK ,3,Quercus rubra,Red oak,,,Fair,Fagaceae,Quercus
POINT (-77.05488362 38.908608892899998),2603 O ST NW,2,Amelanchier canadensis,Shadblow serviceberry,,,Excellent,Rosaceae,Amelanchier
POINT (-77.095800496300001 38.916100840699997),4800 MACARTHUR BLVD(NEXT TO EXON),3,Cercis canadensis,London plane tree,,,Good,Platanaceae,Platanus
POINT (-77.097158976100005 38.916478845500002),4837 RESERVOIR RD NW,3,Prunus yedoensis,Honeylocust,,,Good,Fabaceae,Gleditsia
POINT (-77.026126924099998 38.931868827199999),700 BLK MORTON ST NW,1,Acer rubrum,Ginkgo,,,Good,Ginkgoaceae,Ginkgo
POINT (-77.021063744499997 38.934576226399997),,,Other (See Notes),Other (See Notes),,,Excellent,,
POINT (-76.936640425899995 38.900134143599999),800 46TH ST NE,7,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-76.936642027399998 38.900048144300001),OPP 801 46TH ST NE,7,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-76.936646031199999 38.89995529),OPP 801 46TH ST NE,7,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-76.998380883199999 38.890197904200001),7 6TH ST NE,6,,,,,Good,Null,Other
POINT (-76.936644639299999 38.900223928599999),804 46TH ST NE,7,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-76.936408482 38.899747677100002),4600 HAYES ST NE,7,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-76.936646831900006 38.900336054599997),806 46TH ST NE,7,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-76.936651765099995 38.900407688800001),806 46TH ST NE,7,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-76.936647852500002 38.900550432700001),810 46TH ST NE,7,Gymnocladus dioicus,Kentucky coffeetree,,,Good,Fabaceae,Gymnocladus
POINT (-77.017672538200003 38.908629659699997),400 BLK O ST NW,6,Ostrya virginiana,American hop hornbeam,,,Fair,Betulaceae,Ostrya
POINT (-76.982772192200002 38.892065312299998),1532 Constitution Ave NE ,6,Cercis canadensis,Eastern redbud,,,Good,Fabaceae,Cercis
